ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoC1M1,GfKoC1M2,GfKoC1M3,GfKoC4F1,GfKoC4F2,GfKoC4F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_109932,chr11,98902541,-33,1,NM_010517,Igfbp4,98902574,98913957,+,-11416,NM_010517,Igfbp4,98902574,98913957,+,Y,N,N,N,215,CpG_Start,CpG: 77,chr11,98902326,98903129,71.8,0.75,0,0,0,0,0,0,0,2.02,1.03,1.31,1.08,0.78,1.28,1.25,1.25,2.81E-05,4.551437744,0,0
SmaI_mm9_109944,chr11,98973487,-22867,0,NM_172564,Tns4,98950620,98926993,-,32026,NM_007719,Ccr7,99016391,99005513,-,N,B3,SINE,B2,70358,CpG_End,CpG: 77,chr11,98902326,98903129,71.8,0.75,NA,96.75,94.33,95.2,NA,95.31,95.3975,74.46,80.75,85.83,92.54,89.16,89.68,85.40333333,-9.994166667,0.019873987,1.701715005,0,0
SmaI_mm9_109945,chr11,98973678,-23058,0,NM_172564,Tns4,98950620,98926993,-,31835,NM_007719,Ccr7,99016391,99005513,-,N,B3,SINE,B2,70549,CpG_End,CpG: 77,chr11,98902326,98903129,71.8,0.75,NA,98.4,94.23,96.77,NA,96.95,96.5875,75.12,84.19,90.41,94.78,91.18,93.25,88.155,-8.4325,0.057792767,1.238126516,0,0
SmaI_mm9_109962,chr11,99091006,1325,0,NM_020618,Smarce1,99092331,99070364,-,3406,NM_172946,Krt222,99105381,99094412,-,N,N,N,N,-481,CpG_Start,CpG: 105,chr11,99091487,99092409,68,0.98,0.48,0.46,0.23,0.34,0.48,0.31,0.383333333,0.55,0.65,1.27,0.86,0.88,0.72,0.821666667,0.438333333,0.002859245,2.543748595,1,1
SmaI_mm9_109963,chr11,99091283,1048,0,NM_020618,Smarce1,99092331,99070364,-,3129,NM_172946,Krt222,99105381,99094412,-,N,N,N,N,-204,CpG_Start,CpG: 105,chr11,99091487,99092409,68,0.98,0.25,0.34,0,0.14,0,0.12,0.141666667,1.79,1.3,1.29,1.15,1.06,1.11,1.283333333,1.141666667,2.91E-06,5.536526235,1,1
SmaI_mm9_109964,chr11,99091823,508,0,NM_020618,Smarce1,99092331,99070364,-,2589,NM_172946,Krt222,99105381,99094412,-,Y,N,N,N,336,CpG_Start,CpG: 105,chr11,99091487,99092409,68,0.98,0,0,0,0.12,0,0,0.02,0.57,0.17,0.49,0.14,0.24,0.4,0.335,0.315,0.001865021,2.729316315,0,1
SmaI_mm9_109965,chr11,99092078,253,1,NM_020618,Smarce1,99092331,99070364,-,2334,NM_172946,Krt222,99105381,99094412,-,Y,N,N,N,-331,CpG_End,CpG: 105,chr11,99091487,99092409,68,0.98,0,0,0.15,0.14,0.19,0,0.08,0.22,0.2,0.47,0.11,0.18,0.06,0.206666667,0.126666667,0.094344632,1.025282805,0,1
SmaI_mm9_109979,chr11,99210553,1855,0,NM_010666,Krt27,99212408,99206880,-,-3673,NM_010666,Krt27,99212408,99206880,-,N,PB1D7,SINE,Alu,118144,CpG_End,CpG: 105,chr11,99091487,99092409,68,0.98,57.09,65.25,58.43,60.6,NA,52.85,58.844,55.13,55.32,54.37,58.28,62.77,63.49,58.22666667,-0.617333333,0.816892728,0.08783497,0,1
SmaI_mm9_110063,chr11,100165143,-16167,0,NM_011508,Eif1,100181310,100183410,+,-18267,NM_011508,Eif1,100181310,100183410,+,N,N,N,N,-15839,CpG_Start,CpG: 90,chr11,100180982,100181845,68.9,0.88,74.31,81.53,82.98,84.06,83.65,82.41,81.49,92.2,80.99,94.65,83.47,85.54,86.71,87.26,5.77,0.050311368,1.298333873,0,0
SmaI_mm9_110064,chr11,100165536,-15774,0,NM_011508,Eif1,100181310,100183410,+,-17874,NM_011508,Eif1,100181310,100183410,+,N,MTB_Mm,LTR,MaLR,-15446,CpG_Start,CpG: 90,chr11,100180982,100181845,68.9,0.88,59.99,64.51,70.51,66.3,74.91,65.2,66.90333333,87.4,64.41,85.87,66.23,65.13,71.13,73.36166667,6.458333333,0.208172527,0.681576585,0,0
SmaI_mm9_110096,chr11,100382501,6714,0,NM_134037,Acly,100389215,100337670,-,-44831,NM_134037,Acly,100389215,100337670,-,N,N,N,N,-6019,CpG_Start,CpG: 55,chr11,100388520,100389286,63,0.72,86.27,90.6,94,92.96,95.35,91.45,91.77166667,82.97,85.43,82.73,86.76,88,87.03,85.48666667,-6.285,0.002642714,2.577949874,0,1
SmaI_mm9_110097,chr11,100382729,6486,0,NM_134037,Acly,100389215,100337670,-,-45059,NM_134037,Acly,100389215,100337670,-,N,N,N,N,-5791,CpG_Start,CpG: 55,chr11,100388520,100389286,63,0.72,69.39,73.94,71.7,74.91,75.9,67.51,72.225,83.94,65.24,78.31,64.56,70.73,69.73,72.085,-0.14,0.967852214,0.014190952,0,1
SmaI_mm9_110111,chr11,100484318,49,1,NM_028024,Nkiras2,100484269,100488916,+,3216,NM_177790,Zfp385c,100512007,100487534,-,Y,N,N,N,-46,CpG_End,CpG: 23,chr11,100484119,100484364,70.3,0.76,0,0,0,0,0,0.33,0.055,0.15,0.06,0,0,0.14,0.06,0.068333333,0.013333333,0.831672705,0.080047552,0,1
SmaI_mm9_110112,chr11,100484607,338,1,NM_028024,Nkiras2,100484269,100488916,+,2927,NM_177790,Zfp385c,100512007,100487534,-,N,N,N,N,243,CpG_End,CpG: 23,chr11,100484119,100484364,70.3,0.76,0,0,0,0,0,0,0,0,0.32,0.35,0.2,0.14,0.07,0.18,0.18,0.009512914,2.021686414,1,1
SmaI_mm9_11012,chr1,191993209,1350,0,NM_008937,Prox1,191994559,191945658,-,-47551,NM_008937,Prox1,191994559,191945658,-,Y,N,N,N,104,CpG_Start,CpG: 33,chr1,191993105,191993480,69.9,0.75,0,0.28,0,0.31,0,0,0.098333333,0,0.9,1.41,0.63,0.7,0.67,0.718333333,0.62,0.010147084,1.993658727,0,1
SmaI_mm9_11013,chr1,191993480,1079,0,NM_008937,Prox1,191994559,191945658,-,-47822,NM_008937,Prox1,191994559,191945658,-,Y,N,N,N,0,CpG_End,CpG: 33,chr1,191993105,191993480,69.9,0.75,0.55,0,0,0.3,0,0.26,0.185,0.75,0.43,0,0.36,0.22,0.25,0.335,0.15,0.301750383,0.520352171,0,1
SmaI_mm9_11014,chr1,191994409,150,1,NM_008937,Prox1,191994559,191945658,-,-48751,NM_008937,Prox1,191994559,191945658,-,N,G-rich,Low_complexity,Low_complexity,-61,CpG_Start,CpG: 33,chr1,191994470,191994910,61.7,0.79,0,0,0.36,0.27,0,0.28,0.151666667,0.48,0,0,0.16,0.48,0.23,0.225,0.073333333,0.528525322,0.2769342,1,1
SmaI_mm9_11015,chr1,191994802,-243,1,NM_008937,Prox1,191994559,191945658,-,-49144,NM_008937,Prox1,191994559,191945658,-,Y,N,N,N,-108,CpG_End,CpG: 33,chr1,191994470,191994910,61.7,0.79,0.27,0,0,0,0,0,0.045,0,0,0,0.16,0,0,0.026666667,-0.018333333,0.73324228,0.134752501,0,0
SmaI_mm9_110183,chr11,100980670,468,1,NM_026501,Fam134c,100981138,100957830,-,-7063,NM_134024,Tubg1,100981445,100987733,+,N,N,N,N,-173,CpG_Start,CpG: 74,chr11,100980843,100981513,68,0.96,0,0,0,0,0,0,0,0,0.3,0,0.94,0,0,0.206666667,0.206666667,0.210996591,0.675724562,1,1
SmaI_mm9_110184,chr11,100981062,76,1,NM_026501,Fam134c,100981138,100957830,-,-6671,NM_134024,Tubg1,100981445,100987733,+,Y,N,N,N,219,CpG_Start,CpG: 74,chr11,100980843,100981513,68,0.96,0,0.47,0,0,0,0,0.078333333,1.39,0.3,0.62,0.31,0.79,0.72,0.688333333,0.61,0.007192278,2.143133536,0,1
SmaI_mm9_110195,chr11,101031892,724,0,NM_146030,Plekhh3,101032616,101023993,-,2420,NM_007721,Ccr10,101036757,101034312,-,Y,N,N,N,234,CpG_Start,CpG: 68,chr11,101031658,101032648,63.7,0.69,0.81,0.23,0.33,0.33,0,0,0.283333333,0.2,0.31,0,0.15,0.17,0.28,0.185,-0.098333333,0.466285534,0.331348058,0,1
SmaI_mm9_110196,chr11,101032189,427,1,NM_146030,Plekhh3,101032616,101023993,-,2123,NM_007721,Ccr10,101036757,101034312,-,Y,N,N,N,-459,CpG_End,CpG: 68,chr11,101031658,101032648,63.7,0.69,0,0,0,0.2,0,0,0.033333333,0.11,0.05,0.16,0,0.1,0.2,0.103333333,0.07,0.146967361,0.832779104,0,1
SmaI_mm9_110197,chr11,101032404,212,1,NM_146030,Plekhh3,101032616,101023993,-,1908,NM_007721,Ccr10,101036757,101034312,-,Y,N,N,N,-244,CpG_End,CpG: 68,chr11,101031658,101032648,63.7,0.69,0,0,0,0,0,0,0,0.37,0.11,0.31,0.28,0.82,0.48,0.395,0.395,0.002452284,2.610429213,0,1
SmaI_mm9_110202,chr11,101048041,10610,0,NM_016782,Cntnap1,101037431,101052034,+,-3993,NM_016782,Cntnap1,101037431,101052034,+,N,N,N,N,12429,CpG_End,CpG: 58,chr11,101034983,101035612,66,0.85,96.33,97.5,97.08,97.19,97.94,95.63,96.945,96.58,95.93,96.49,93.83,95.74,96.25,95.80333333,-1.141666667,0.059677838,1.224186918,0,1
SmaI_mm9_110203,chr11,101048416,10985,0,NM_016782,Cntnap1,101037431,101052034,+,-3618,NM_016782,Cntnap1,101037431,101052034,+,N,N,N,N,12804,CpG_End,CpG: 58,chr11,101034983,101035612,66,0.85,90.41,91.53,90.14,89.35,91.76,92.5,90.94833333,97.54,93.24,94.21,89.64,85.09,91.1,91.80333333,0.855,0.646181839,0.189645252,0,1
SmaI_mm9_110226,chr11,101177238,-327,1,NM_011192,Psme3,101177565,101184844,+,-7606,NM_011192,Psme3,101177565,101184844,+,Y,N,N,N,103,CpG_Start,CpG: 34,chr11,101177135,101177546,62.9,0.84,0,0,0,0,0,0,0,2.66,0.6,1.57,1.06,0,0.63,1.086666667,1.086666667,0.017004876,1.769426541,0,0
SmaI_mm9_110227,chr11,101177659,94,1,NM_011192,Psme3,101177565,101184844,+,-7185,NM_011192,Psme3,101177565,101184844,+,N,N,N,N,113,CpG_End,CpG: 34,chr11,101177135,101177546,62.9,0.84,0,0.41,0,0,0,0,0.068333333,1.64,0.88,0,0.64,1.89,0.86,0.985,0.916666667,0.009939111,2.002652473,1,1
SmaI_mm9_110233,chr11,101224579,-4465,0,NM_008061,G6pc,101229044,101239217,+,-14638,NM_008061,G6pc,101229044,101239217,+,N,N,N,N,47033,CpG_End,CpG: 34,chr11,101177135,101177546,62.9,0.84,17.32,23.17,24.69,33.49,24.42,26.77,24.97666667,27.61,22.36,20.63,29.9,28.49,24.44,25.57166667,0.595,0.824697538,0.083705302,0,0
SmaI_mm9_110234,chr11,101224911,-4133,0,NM_008061,G6pc,101229044,101239217,+,-14306,NM_008061,G6pc,101229044,101239217,+,N,N,N,N,47365,CpG_End,CpG: 34,chr11,101177135,101177546,62.9,0.84,15.45,23.37,20.45,31.15,18.9,23.21,22.08833333,26.84,18.1,17.18,23.34,26.04,21.1,22.1,0.011666667,0.996667434,0.001449732,0,0
SmaI_mm9_110238,chr11,101304060,501,0,NM_011289,Rpl27,101303559,101306910,+,-2850,NM_011289,Rpl27,101303559,101306910,+,Y,N,N,N,-107,CpG_End,CpG: 37,chr11,101303803,101304167,64.7,0.97,0,0.27,0,0,0,0,0.045,0.8,0.7,0.93,0.65,0.59,0.27,0.656666667,0.611666667,0.000132284,3.878492849,0,1
SmaI_mm9_11026,chr1,192108032,-113473,0,NM_008937,Prox1,191994559,191945658,-,-162374,NM_008937,Prox1,191994559,191945658,-,N,N,N,N,108559,CpG_End,CpG: 58,chr1,191998794,191999473,68.5,0.73,29.76,37.08,38.21,34.67,NA,33.83,34.71,50.95,27.12,46.34,27.45,31.69,32.97,36.08666667,1.376666667,0.778405326,0.108794201,0,0
SmaI_mm9_11027,chr1,192108274,-113715,0,NM_008937,Prox1,191994559,191945658,-,-162616,NM_008937,Prox1,191994559,191945658,-,N,N,N,N,108801,CpG_End,CpG: 58,chr1,191998794,191999473,68.5,0.73,86.1,82.32,87.1,86.93,NA,75.5,83.59,62.76,79.62,69.23,82.06,83.74,82.95,76.72666667,-6.863333333,0.152316247,0.81725377,0,0
SmaI_mm9_110278,chr11,101645394,1230,0,NM_008815,Etv4,101646624,101631056,-,-14338,NM_008815,Etv4,101646624,101631056,-,N,N,N,N,-430,CpG_Start,CpG: 66,chr11,101645824,101646562,64,0.87,1.64,2.44,5.55,3.59,NA,3.15,3.274,1.47,3.13,0.24,2.36,2.62,2.54,2.06,-1.214,0.143678871,0.842607093,1,1
SmaI_mm9_110279,chr11,101645573,1051,0,NM_008815,Etv4,101646624,101631056,-,-14517,NM_008815,Etv4,101646624,101631056,-,N,N,N,N,-251,CpG_Start,CpG: 66,chr11,101645824,101646562,64,0.87,0,0.65,1.61,0.73,NA,1.59,0.916,0.6,0.76,0.97,0.51,1.16,1.15,0.858333333,-0.057666667,0.853702019,0.068693691,1,1
SmaI_mm9_110281,chr11,101645758,866,0,NM_008815,Etv4,101646624,101631056,-,-14702,NM_008815,Etv4,101646624,101631056,-,N,G-rich,Low_complexity,Low_complexity,-66,CpG_Start,CpG: 66,chr11,101645824,101646562,64,0.87,0,0,0,0,0,0,0,0.21,0.11,0,0.36,0.17,0.3,0.191666667,0.191666667,0.004720362,2.326024667,1,1
SmaI_mm9_110282,chr11,101645975,649,0,NM_008815,Etv4,101646624,101631056,-,-14919,NM_008815,Etv4,101646624,101631056,-,Y,N,N,N,151,CpG_Start,CpG: 66,chr11,101645824,101646562,64,0.87,0,0,0,0.26,0,0,0.043333333,1.09,0.09,0.45,0.48,0.16,0.49,0.46,0.416666667,0.01997729,1.699463426,0,1
SmaI_mm9_110305,chr11,101807907,20422,0,NM_024449,Sost,101828329,101823773,-,15866,NM_024449,Sost,101828329,101823773,-,N,N,N,N,8945,CpG_End,CpG: 19,chr11,101798751,101798962,68.9,0.82,31.21,30.01,37.64,34.12,30.61,23.13,31.12,73.64,38.03,57.61,28.39,32.32,44.52,45.75166667,14.63166667,0.071299942,1.146910825,0,0
SmaI_mm9_110306,chr11,101808285,20044,0,NM_024449,Sost,101828329,101823773,-,15488,NM_024449,Sost,101828329,101823773,-,N,Lx8,LINE,L1,9323,CpG_End,CpG: 19,chr11,101798751,101798962,68.9,0.82,80.03,77.79,84.86,78.31,80.75,77.5,79.87333333,71.67,67.87,59.66,73.24,77.07,76.22,70.955,-8.918333333,0.010979832,1.959404324,0,0
SmaI_mm9_110309,chr11,101824946,3383,0,NM_024449,Sost,101828329,101823773,-,-1173,NM_024449,Sost,101828329,101823773,-,N,N,N,N,-173,CpG_Start,CpG: 55,chr11,101825119,101825600,62.2,1.18,0,0,0,0.59,0,0,0.098333333,0.24,0.11,0,0.24,0,0,0.098333333,0,1,0,1,1
SmaI_mm9_110310,chr11,101825204,3125,0,NM_024449,Sost,101828329,101823773,-,-1431,NM_024449,Sost,101828329,101823773,-,Y,GC_rich,Low_complexity,Low_complexity,85,CpG_Start,CpG: 55,chr11,101825119,101825600,62.2,1.18,0,0,0,0,0,0.43,0.071666667,0.62,0.21,0.93,0.11,0.18,0.24,0.381666667,0.31,0.065745098,1.18213662,0,1
SmaI_mm9_110336,chr11,102007035,134,1,NM_145829,Nags,102006901,102010385,+,-3350,NM_145829,Nags,102006901,102010385,+,Y,N,N,N,191,CpG_Start,CpG: 50,chr11,102006844,102007328,69.3,0.86,NA,0,0,1.78,NA,0,0.445,0,0.86,0.51,0.81,0.78,0.6,0.593333333,0.148333333,0.712088849,0.147465815,0,1
SmaI_mm9_110337,chr11,102007230,329,1,NM_145829,Nags,102006901,102010385,+,-3155,NM_145829,Nags,102006901,102010385,+,Y,N,N,N,-98,CpG_End,CpG: 50,chr11,102006844,102007328,69.3,0.86,0.81,1.65,0.67,0.54,1.52,0.75,0.99,1.34,1.33,0.71,2.39,1.54,1.67,1.496666667,0.506666667,0.11674843,0.932748952,0,1
SmaI_mm9_110338,chr11,102007491,-189,1,NM_178053,Nags,102007680,102010790,+,-2894,NM_145829,Nags,102006901,102010385,+,N,N,N,N,163,CpG_End,CpG: 50,chr11,102006844,102007328,69.3,0.86,3.19,6.72,2.74,5.36,4.76,5.46,4.705,1.97,3.71,2.19,6.55,5.08,4.33,3.971666667,-0.733333333,0.453085784,0.343819564,1,0
SmaI_mm9_110361,chr11,102098239,-6753,0,NM_001077696,Hdac5,102091486,102057061,-,-28258,NM_153544,BC030867,102110196,102126497,+,N,RMER15,LTR,ERVL,6642,CpG_End,CpG: 72,chr11,102090966,102091597,66.6,1.03,14.82,12.23,9.43,16.74,20.54,12.09,14.30833333,33.26,13.71,28.75,11.97,14.67,17.77,20.02166667,5.713333333,0.178576551,0.748175569,0,0
SmaI_mm9_110362,chr11,102098588,-7102,0,NM_001077696,Hdac5,102091486,102057061,-,-27909,NM_153544,BC030867,102110196,102126497,+,N,RMER15,LTR,ERVL,6991,CpG_End,CpG: 72,chr11,102090966,102091597,66.6,1.03,75.4,67.5,75.15,72.38,71.64,70.49,72.09333333,48.1,64.1,53.9,60.84,67.83,65.6,60.06166667,-12.03166667,0.004767035,2.321751696,0,0
SmaI_mm9_110373,chr11,102157454,489,1,NM_001098837,Atxn7l3,102157943,102150614,-,6716,NM_028076,Tmub2,102146275,102150738,+,Y,N,N,N,218,CpG_Start,CpG: 135,chr11,102157236,102158705,54.6,1.24,0,0,0,0,NA,0,0,0.33,0,0,0,0,0,0.055,0.055,0.389283142,0.409734403,0,1
SmaI_mm9_110374,chr11,102157724,219,1,NM_001098837,Atxn7l3,102157943,102150614,-,6986,NM_028076,Tmub2,102146275,102150738,+,Y,GC_rich,Low_complexity,Low_complexity,488,CpG_Start,CpG: 135,chr11,102157236,102158705,54.6,1.24,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_110378,chr11,102158026,-83,1,NM_001098837,Atxn7l3,102157943,102150614,-,7288,NM_028076,Tmub2,102146275,102150738,+,Y,N,N,N,-679,CpG_End,CpG: 135,chr11,102157236,102158705,54.6,1.24,0,0,0,0,0.54,0,0.09,0,0,0,0,0,0,0,-0.09,0.340893132,0.467381748,0,0
SmaI_mm9_110381,chr11,102170348,8253,0,NM_001044383,Ubtf,102178601,102165874,-,-4474,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,77,CpG_Start,CpG: 37,chr11,102170271,102170785,62.7,0.73,0.3,0.64,0,0.24,0,0,0.196666667,0,0.07,0,0.17,0.12,0.09,0.075,-0.121666667,0.284786709,0.545480283,0,1
SmaI_mm9_110382,chr11,102170592,8009,0,NM_001044383,Ubtf,102178601,102165874,-,-4718,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,-193,CpG_End,CpG: 37,chr11,102170271,102170785,62.7,0.73,0,0.44,0,0,0.38,0,0.136666667,0,0.07,0.11,0.26,0.13,0.09,0.11,-0.026666667,0.7815758,0.107028896,0,1
SmaI_mm9_110383,chr11,102177768,833,0,NM_001044383,Ubtf,102178601,102165874,-,-11894,NM_011551,Ubtf,102180410,102165874,-,N,N,N,N,-207,CpG_Start,CpG: 274,chr11,102177975,102180917,58.4,1.11,0.48,0.23,0,0.21,0,0.42,0.223333333,0.87,0.46,0.36,0.82,0.6,0.71,0.636666667,0.413333333,0.005282611,2.277151346,1,1
SmaI_mm9_110384,chr11,102178069,532,0,NM_001044383,Ubtf,102178601,102165874,-,-12195,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,94,CpG_Start,CpG: 274,chr11,102177975,102180917,58.4,1.11,0,0,0,0.41,0,0,0.068333333,0.81,1.14,0.52,0.59,0.37,0.91,0.723333333,0.655,0.000640043,3.193790642,0,1
SmaI_mm9_110388,chr11,102178442,159,1,NM_001044383,Ubtf,102178601,102165874,-,-12568,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,467,CpG_Start,CpG: 274,chr11,102177975,102180917,58.4,1.11,0,0,0,0,0,0,0,0,0,0.34,0.11,0.19,0.31,0.158333333,0.158333333,0.025555956,1.592507875,0,1
SmaI_mm9_110389,chr11,102178721,-120,1,NM_001044383,Ubtf,102178601,102165874,-,-12847,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,746,CpG_Start,CpG: 274,chr11,102177975,102180917,58.4,1.11,0,0,0,0,0,0,0,0.42,0.34,0.34,0.74,0.18,0.28,0.383333333,0.383333333,0.000632183,3.199156855,0,0
SmaI_mm9_110396,chr11,102180432,-22,1,NM_011551,Ubtf,102180410,102165874,-,-14558,NM_011551,Ubtf,102180410,102165874,-,Y,GC_rich,Low_complexity,Low_complexity,-485,CpG_End,CpG: 274,chr11,102177975,102180917,58.4,1.11,0,0,0.24,0,0,0,0.04,0.57,0.27,0.59,0.36,0.67,0.25,0.451666667,0.411666667,0.000613877,3.211918851,0,0
SmaI_mm9_110397,chr11,102180734,-324,1,NM_011551,Ubtf,102180410,102165874,-,-14860,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,-183,CpG_End,CpG: 274,chr11,102177975,102180917,58.4,1.11,0.13,0,0,0.15,0,0,0.046666667,0.62,0.25,0.17,0.49,0.4,0.57,0.416666667,0.37,0.000834252,3.078702947,0,0
SmaI_mm9_110398,chr11,102181216,-806,1,NM_011551,Ubtf,102180410,102165874,-,-15342,NM_011551,Ubtf,102180410,102165874,-,Y,N,N,N,15,CpG_Start,CpG: 27,chr11,102181201,102181551,57.8,0.93,0.45,0,0,0,0,0,0.075,1.57,0.3,1.42,1.54,0,1.49,1.053333333,0.978333333,0.008338021,2.078936992,0,0
SmaI_mm9_110407,chr11,102254679,-70,1,NM_016759,Rundc3a,102254749,102263867,+,-9188,NM_016759,Rundc3a,102254749,102263867,+,Y,N,N,N,90,CpG_Start,CpG: 41,chr11,102254589,102255116,62.5,0.8,0,0.51,0,0,0,0,0.085,0.51,0.4,0.38,0.17,0.42,0.39,0.378333333,0.293333333,0.01252244,1.902311043,0,0
SmaI_mm9_110408,chr11,102254894,145,1,NM_016759,Rundc3a,102254749,102263867,+,-8973,NM_016759,Rundc3a,102254749,102263867,+,Y,N,N,N,-222,CpG_End,CpG: 41,chr11,102254589,102255116,62.5,0.8,0,0,0,0,0,0,0,0,0.14,0.21,0,0,0,0.058333333,0.058333333,0.155614956,0.807948665,0,1
SmaI_mm9_110419,chr11,102308754,223,1,NM_199200,Fam171a2,102308977,102298296,-,5857,NM_010575,Itga2b,102331197,102314611,-,Y,N,N,N,312,CpG_Start,CpG: 71,chr11,102308442,102309090,73.8,0.81,0,0.14,0.17,0.16,0,0,0.078333333,0.21,0.08,0,0.08,0,0.06,0.071666667,-0.006666667,0.890589605,0.050322378,0,1
SmaI_mm9_110420,chr11,102309145,-168,1,NM_199200,Fam171a2,102308977,102298296,-,5466,NM_010575,Itga2b,102331197,102314611,-,N,N,N,N,55,CpG_End,CpG: 71,chr11,102308442,102309090,73.8,0.81,0.41,0,0.17,0.3,0.15,0.4,0.238333333,0.79,1.06,0.84,1.08,1.8,0.59,1.026666667,0.788333333,0.00158186,2.800831883,1,0
SmaI_mm9_110432,chr11,102417060,412,1,NM_001159492,Gpatch8,102417472,102337232,-,-52312,NM_020510,Fzd2,102465745,102469372,+,N,GC_rich,Low_complexity,Low_complexity,-19,CpG_Start,CpG: 76,chr11,102417079,102417773,68.9,0.93,0.26,0.28,0,0,0,0,0.09,0,0.11,0,0,0,0,0.018333333,-0.071666667,0.258796046,0.587042363,1,1
SmaI_mm9_110433,chr11,102417337,135,1,NM_001159492,Gpatch8,102417472,102337232,-,-52035,NM_020510,Fzd2,102465745,102469372,+,Y,N,N,N,258,CpG_Start,CpG: 76,chr11,102417079,102417773,68.9,0.93,0.24,0,0,0,0,0,0.04,0.25,0.1,0.35,0.12,0.21,0,0.171666667,0.131666667,0.068376923,1.165090448,0,1
SmaI_mm9_110470,chr11,102680260,213,1,NM_001159382,Gjc1,102680473,102660792,-,-19093,NM_080846,Higd1b,102697610,102699353,+,Y,GC_rich,Low_complexity,Low_complexity,454,CpG_Start,CpG: 119,chr11,102679806,102680972,58.8,1.19,0,0,0.25,0.44,0,0.22,0.151666667,0.27,0.22,0.23,0.11,0.27,0.08,0.196666667,0.045,0.593655374,0.226465597,0,1
SmaI_mm9_110471,chr11,102680662,-189,1,NM_001159382,Gjc1,102680473,102660792,-,-18691,NM_080846,Higd1b,102697610,102699353,+,Y,N,N,N,-310,CpG_End,CpG: 119,chr11,102679806,102680972,58.8,1.19,0,0.19,0.51,0.46,0,0.83,0.331666667,0.58,0.73,1.05,0.44,0.63,0.7,0.688333333,0.356666667,0.047244364,1.325649993,0,0
SmaI_mm9_110486,chr11,102806320,1455,0,NM_011795,C1ql1,102807775,102800579,-,-5741,NM_011795,C1ql1,102807775,102800579,-,N,N,N,N,-897,CpG_Start,CpG: 100,chr11,102807217,102808181,68.1,0.89,1.47,0,0,0.59,0.89,1.41,0.726666667,0.56,0.93,0,0.85,1.49,1.01,0.806666667,0.08,0.815840732,0.088394616,1,1
SmaI_mm9_110487,chr11,102806527,1248,0,NM_011795,C1ql1,102807775,102800579,-,-5948,NM_011795,C1ql1,102807775,102800579,-,N,N,N,N,-690,CpG_Start,CpG: 100,chr11,102807217,102808181,68.1,0.89,1.52,1.84,0.82,0.62,NA,0,0.96,0.55,0.31,0,0.17,0.42,0.2,0.275,-0.685,0.053481715,1.271794676,1,1
SmaI_mm9_110503,chr11,102856996,21465,0,NM_026551,Dcakd,102878461,102855370,-,-1626,NM_026551,Dcakd,102878461,102855370,-,N,N,N,N,514,CpG_End,CpG: 19,chr11,102856242,102856482,63.9,0.77,84.52,87.05,89.07,88.68,90.93,87.09,87.89,88.66,85.68,90.19,83.27,87.77,88.41,87.33,-0.56,0.686497952,0.163360754,1,1
SmaI_mm9_110504,chr11,102857285,21176,0,NM_026551,Dcakd,102878461,102855370,-,-1915,NM_026551,Dcakd,102878461,102855370,-,N,B3,SINE,B2,803,CpG_End,CpG: 19,chr11,102856242,102856482,63.9,0.77,83.94,81.15,87.94,85.37,85.88,82.61,84.48166667,95.4,83.55,93.85,81,85.48,89.18,88.07666667,3.595,0.188951734,0.723649117,1,1
SmaI_mm9_110528,chr11,102962872,100,1,NM_152813,Plcd3,102962972,102931610,-,-10641,NM_025988,Acbd4,102963002,102973513,+,Y,N,N,N,-238,CpG_End,CpG: 51,chr11,102962618,102963110,68.6,0.89,0,0.27,0,0,0.28,0,0.091666667,0.99,0.2,2.32,0.59,1.82,0.86,1.13,1.038333333,0.010184175,1.992074164,0,1
SmaI_mm9_110529,chr11,102963315,313,1,NM_025988,Acbd4,102963002,102973513,+,-10198,NM_025988,Acbd4,102963002,102973513,+,N,N,N,N,205,CpG_End,CpG: 51,chr11,102962618,102963110,68.6,0.89,0.63,0.29,0.34,1.67,0.58,0.81,0.72,3.13,1.26,0.97,1.02,0.66,0.58,1.27,0.55,0.236730026,0.625746654,1,1
