ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgGF,AvgSPF,SPF.GF,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_114719,chr12,31569128,-61,1,NM_001159743,Fam150b,31569189,31578719,+,9063,NM_021330,Acp1,31596477,31578191,-,Y,N,N,N,60,CpG_Start,CpG: 78,chr12,31569068,31569753,70.8,0.91,0,1.07,0.28,0.91,0,0.21,1.32,0.95,0.98,0.72,0.32,1.44,0.411666667,0.955,0.543333333,0.056541643,1.247631576,0,0
SmaI_mm9_114720,chr12,31569469,280,1,NM_001159743,Fam150b,31569189,31578719,+,8722,NM_021330,Acp1,31596477,31578191,-,Y,N,N,N,-284,CpG_End,CpG: 78,chr12,31569068,31569753,70.8,0.91,0.64,0.64,1.37,1.38,0.83,0.88,2.38,1.16,3.34,2.25,2.93,1.82,0.956666667,2.313333333,1.356666667,0.002855081,2.544381566,0,1
SmaI_mm9_114768,chr12,32243998,836,0,NM_011867,Slc26a4,32244834,32204684,-,36221,NM_001164090,Bcap29,32319523,32280219,-,Y,N,N,N,69,CpG_Start,CpG: 89,chr12,32243929,32244788,69.1,0.87,0,0.3,0,0.37,0,0.27,0.34,0.27,0.29,0,0,0,0.156666667,0.15,-0.006666667,0.947288496,0.023517737,0,1
SmaI_mm9_114769,chr12,32244431,403,1,NM_011867,Slc26a4,32244834,32204684,-,35788,NM_001164090,Bcap29,32319523,32280219,-,Y,N,N,N,-357,CpG_End,CpG: 89,chr12,32243929,32244788,69.1,0.87,0,0.57,0.75,0,0.52,0.26,0,0,0,0.66,1.11,0.25,0.35,0.336666667,-0.013333333,0.954239701,0.020342519,0,1
SmaI_mm9_114774,chr12,32339667,24,1,NM_028002,Dus4l,32339691,32324920,-,-14747,NM_028002,Dus4l,32339691,32324920,-,Y,N,N,N,187,CpG_Start,CpG: 58,chr12,32339480,32340143,63.6,0.87,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0.073333333,0.073333333,0.340893132,0.467381748,0,1
SmaI_mm9_114775,chr12,32340097,363,1,NM_001163126,Cog5,32339734,32622495,+,-15177,NM_028002,Dus4l,32339691,32324920,-,Y,N,N,N,-46,CpG_End,CpG: 58,chr12,32339480,32340143,63.6,0.87,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0.08,0.08,0.340893132,0.467381748,0,1
SmaI_mm9_114787,chr12,32634527,873,0,NM_177993,Hbp1,32635400,32614248,-,8817,NM_011158,Prkar2b,32746144,32643344,-,Y,GC_rich,Low_complexity,Low_complexity,422,CpG_Start,CpG: 116,chr12,32634105,32635229,68.1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_114788,chr12,32634778,622,0,NM_177993,Hbp1,32635400,32614248,-,8566,NM_011158,Prkar2b,32746144,32643344,-,Y,N,N,N,-451,CpG_End,CpG: 116,chr12,32634105,32635229,68.1,0.93,0,0,0.15,0.12,0,0,0,0,0,0,0,0,0.045,0,-0.045,0.148254374,0.828992485,0,1
SmaI_mm9_114789,chr12,32635121,279,1,NM_177993,Hbp1,32635400,32614248,-,8223,NM_011158,Prkar2b,32746144,32643344,-,Y,N,N,N,-108,CpG_End,CpG: 116,chr12,32634105,32635229,68.1,0.93,0,0,0,0.25,0,0.42,0.39,0.18,0.64,0.5,1.07,1.46,0.111666667,0.706666667,0.595,0.016637136,1.778921433,0,1
SmaI_mm9_114796,chr12,32745566,578,0,NM_011158,Prkar2b,32746144,32643344,-,-102222,NM_011158,Prkar2b,32746144,32643344,-,Y,N,N,N,84,CpG_Start,CpG: 82,chr12,32745482,32746123,73.7,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_114797,chr12,32746039,105,1,NM_011158,Prkar2b,32746144,32643344,-,-102695,NM_011158,Prkar2b,32746144,32643344,-,Y,N,N,N,-84,CpG_End,CpG: 82,chr12,32745482,32746123,73.7,0.94,0,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0,-0.1,0.340893132,0.467381748,0,1
SmaI_mm9_114805,chr12,32929533,-36019,0,NM_001146200,Pik3cg,32893514,32858264,-,-71269,NM_001146200,Pik3cg,32893514,32858264,-,N,N,N,N,-134067,CpG_Start,CpG: 136,chr12,33063600,33064830,63.4,1.1,76.82,79.61,84.94,85.72,85.28,79.01,87.68,78.14,79.99,81.5,87.9,77.74,81.89666667,82.15833333,0.261666667,0.91679165,0.037729351,0,0
SmaI_mm9_114806,chr12,32929816,-36302,0,NM_001146200,Pik3cg,32893514,32858264,-,-71552,NM_001146200,Pik3cg,32893514,32858264,-,N,N,N,N,-133784,CpG_Start,CpG: 136,chr12,33063600,33064830,63.4,1.1,82.69,87.47,86.39,86.4,91.46,88.81,87.13,88.44,85.89,85.96,88.38,84.27,87.20333333,86.67833333,-0.525,0.707813251,0.150081311,0,0
SmaI_mm9_114815,chr12,33063886,232,1,NM_001162903,2010109K11Rik,33063654,33067806,+,-3920,NM_001162903,2010109K11Rik,33063654,33067806,+,Y,GC_rich,Low_complexity,Low_complexity,286,CpG_Start,CpG: 136,chr12,33063600,33064830,63.4,1.1,0,0,0,0.24,0,0,0,0,0,0,NA,NA,0.04,0,-0.04,0.446813334,0.349873875,0,1
SmaI_mm9_114816,chr12,33064293,639,0,NM_001162903,2010109K11Rik,33063654,33067806,+,-3513,NM_001162903,2010109K11Rik,33063654,33067806,+,Y,GC_rich,Low_complexity,Low_complexity,-537,CpG_End,CpG: 136,chr12,33063600,33064830,63.4,1.1,0,0,0,0,0,0.21,0.21,0,0,0.32,0,0,0.035,0.088333333,0.053333333,0.447376731,0.349326608,0,1
SmaI_mm9_114817,chr12,33064540,886,0,NM_001162903,2010109K11Rik,33063654,33067806,+,-3266,NM_001162903,2010109K11Rik,33063654,33067806,+,Y,N,N,N,-290,CpG_End,CpG: 136,chr12,33063600,33064830,63.4,1.1,0.4,0,0,0,0,0,0,0,0,0.41,0,0,0.066666667,0.068333333,0.001666667,0.986414576,0.005940519,0,1
SmaI_mm9_114850,chr12,33505531,331,1,NM_021524,Nampt,33505200,33538233,+,-32702,NM_021524,Nampt,33505200,33538233,+,Y,G-rich,Low_complexity,Low_complexity,-345,CpG_End,CpG: 107,chr12,33504686,33505876,60.2,0.99,0,0,0,0.47,0,0,0,0,0,0,0,0,0.078333333,0,-0.078333333,0.340893132,0.467381748,0,1
SmaI_mm9_114851,chr12,33505790,590,0,NM_021524,Nampt,33505200,33538233,+,-32443,NM_021524,Nampt,33505200,33538233,+,Y,N,N,N,-86,CpG_End,CpG: 107,chr12,33504686,33505876,60.2,0.99,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_11486,chr2,4639116,-75,1,NM_178663,Bend7,4639191,4721971,+,-82855,NM_178663,Bend7,4639191,4721971,+,Y,N,N,N,-250,CpG_End,CpG: 104,chr2,4638509,4639366,67.6,1.06,0,0,0.35,0,0,0,0.22,0,0.27,0,0,0.25,0.058333333,0.123333333,0.065,0.43842822,0.3581015,0,0
SmaI_mm9_114865,chr12,33772475,5265,0,NM_001024478,Cdhr3,33777740,33718661,-,24101,NR_015602,F730043M19Rik,33832451,33796576,-,N,N,N,N,-59704,CpG_Start,CpG: 59,chr12,33832179,33832759,66.8,0.91,48.42,58.08,53.5,62.82,75.8,59.97,60.75,49.71,61.57,65.83,75.64,47.97,59.765,60.245,0.48,0.934364916,0.029483477,0,1
SmaI_mm9_114867,chr12,33831529,922,0,NR_015602,F730043M19Rik,33832451,33796576,-,-34953,NR_015602,F730043M19Rik,33832451,33796576,-,N,N,N,N,-650,CpG_Start,CpG: 59,chr12,33832179,33832759,66.8,0.91,40.96,37.29,43.71,45.05,42.02,38.13,35.49,33.34,32.63,38.72,36.66,39.72,41.19333333,36.09333333,-5.1,0.013413979,1.872442378,1,1
SmaI_mm9_114868,chr12,33831912,539,0,NR_015602,F730043M19Rik,33832451,33796576,-,-35336,NR_015602,F730043M19Rik,33832451,33796576,-,N,N,N,N,-267,CpG_Start,CpG: 59,chr12,33832179,33832759,66.8,0.91,0.64,0.43,0.74,0.88,0.47,0.88,0.7,0.37,1.08,0.56,0.55,0.83,0.673333333,0.681666667,0.008333333,0.949895467,0.022324185,1,1
SmaI_mm9_114869,chr12,33832322,129,1,NR_015602,F730043M19Rik,33832451,33796576,-,-35746,NR_015602,F730043M19Rik,33832451,33796576,-,Y,N,N,N,143,CpG_Start,CpG: 59,chr12,33832179,33832759,66.8,0.91,0,0,0.2,0,0,0,0,0,0.63,0,0,0,0.033333333,0.105,0.071666667,0.530002397,0.275722166,0,1
SmaI_mm9_11487,chr2,4639354,163,1,NM_178663,Bend7,4639191,4721971,+,-82617,NM_178663,Bend7,4639191,4721971,+,Y,N,N,N,-12,CpG_End,CpG: 104,chr2,4638509,4639366,67.6,1.06,0,0,0,0.32,0,0,0,0.27,0.36,0.4,0,0,0.053333333,0.171666667,0.118333333,0.241516442,0.617053298,0,1
SmaI_mm9_114895,chr12,34114797,308,1,NM_172253,Twistnb,34114489,34124245,+,-9448,NM_172253,Twistnb,34114489,34124245,+,Y,N,N,N,-120,CpG_End,CpG: 60,chr12,34114412,34114917,68.8,1,0,0.55,0,0,0,0,0,0,0.28,0,0,0,0.091666667,0.046666667,-0.045,0.671060455,0.173238353,0,1
SmaI_mm9_114913,chr12,34641053,-1483,0,NM_011658,Twist1,34642536,34644696,+,-3643,NM_011658,Twist1,34642536,34644696,+,N,N,N,N,-764,CpG_Start,CpG: 142,chr12,34641817,34643566,55.9,1.04,1.25,0,1.6,5.9,2.58,1.55,5.28,2.08,2.39,3.86,1.69,1.43,2.146666667,2.788333333,0.641666667,0.544651592,0.263881223,1,0
SmaI_mm9_11500,chr2,4768445,-34165,0,NM_175400,Sephs1,4802610,4831602,+,46474,NM_178663,Bend7,4639191,4721971,+,N,N,N,N,-34265,CpG_Start,CpG: 112,chr2,4802710,4803691,64.4,1.11,94.39,91.07,88.95,89.28,93.56,88.91,NA,95.67,86.41,90.86,90.35,82.23,91.02666667,89.104,-1.922666667,0.428211357,0.368341819,0,0
SmaI_mm9_11501,chr2,4768938,-33672,0,NM_175400,Sephs1,4802610,4831602,+,46967,NM_178663,Bend7,4639191,4721971,+,N,B4A,SINE,B4,-33772,CpG_Start,CpG: 112,chr2,4802710,4803691,64.4,1.11,84.67,83.27,87.38,83.14,90.75,87.77,NA,80.26,82.78,86.45,86.99,80.93,86.16333333,83.482,-2.681333333,0.179607333,0.745675936,0,0
SmaI_mm9_115026,chr12,36728128,8616,0,NM_011783,Agr2,36719512,36730668,+,-2540,NM_011783,Agr2,36719512,36730668,+,N,N,N,N,-40490,CpG_Start,CpG: 56,chr12,36768618,36769133,68.6,0.94,91.33,95.17,90.53,94.31,92.69,95.03,94.04,86.99,92.7,90.89,93.39,86.39,93.17666667,90.73333333,-2.443333333,0.151094822,0.820750419,0,1
SmaI_mm9_115027,chr12,36728452,8940,0,NM_011783,Agr2,36719512,36730668,+,-2216,NM_011783,Agr2,36719512,36730668,+,N,N,N,N,-40166,CpG_Start,CpG: 56,chr12,36768618,36769133,68.6,0.94,86.62,79.88,83.66,83.52,86.21,84.22,84.61,84.19,81.47,83.56,88.22,80.56,84.01833333,83.76833333,-0.25,0.868957648,0.06100139,0,1
SmaI_mm9_115029,chr12,36768502,563,0,NM_025359,Tspan13,36769065,36741142,-,-27360,NM_025359,Tspan13,36769065,36741142,-,N,N,N,N,-116,CpG_Start,CpG: 56,chr12,36768618,36769133,68.6,0.94,0,0,0,0.57,0,0,0,0,0,0.48,0,0,0.095,0.08,-0.015,0.906261154,0.042746635,1,1
SmaI_mm9_11503,chr2,4802563,-47,1,NM_175400,Sephs1,4802610,4831602,+,-29039,NM_175400,Sephs1,4802610,4831602,+,N,N,N,N,-147,CpG_Start,CpG: 112,chr2,4802710,4803691,64.4,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SmaI_mm9_115030,chr12,36768709,356,1,NM_025359,Tspan13,36769065,36741142,-,-27567,NM_025359,Tspan13,36769065,36741142,-,Y,N,N,N,91,CpG_Start,CpG: 56,chr12,36768618,36769133,68.6,0.94,0,0,0,0.19,0.29,0,0,0,0,0,0,0.31,0.08,0.051666667,-0.028333333,0.707791996,0.150094353,0,1
SmaI_mm9_115031,chr12,36768997,68,1,NM_025359,Tspan13,36769065,36741142,-,-27855,NM_025359,Tspan13,36769065,36741142,-,Y,N,N,N,-136,CpG_End,CpG: 56,chr12,36768618,36769133,68.6,0.94,0,0,0,0,0,0,0,0.25,0.29,0,0.35,0,0,0.148333333,0.148333333,0.052944352,1.276180363,0,1
SmaI_mm9_11504,chr2,4803010,400,1,NM_175400,Sephs1,4802610,4831602,+,-28592,NM_175400,Sephs1,4802610,4831602,+,Y,N,N,N,300,CpG_Start,CpG: 112,chr2,4802710,4803691,64.4,1.11,0,0,0,0.35,0,0,0,0,0,0,0,0,0.058333333,0,-0.058333333,0.340893132,0.467381748,0,1
SmaI_mm9_115113,chr12,39504894,-1951,0,NM_007960,Etv1,39506845,39594793,+,-89899,NM_001163154,Etv1,39510298,39594793,+,N,N,N,N,-334,CpG_Start,CpG: 34,chr12,39505228,39505701,59.5,0.81,0,0.27,0.32,0.75,0.26,0.25,0,0.29,0,0.57,0.41,0.25,0.308333333,0.253333333,-0.055,0.69367872,0.158841628,1,0
SmaI_mm9_115114,chr12,39505339,-1506,0,NM_007960,Etv1,39506845,39594793,+,-89454,NM_001163154,Etv1,39510298,39594793,+,Y,N,N,N,111,CpG_Start,CpG: 34,chr12,39505228,39505701,59.5,0.81,0.2,0,0,0,0,0.37,0,0,0.2,0,0.29,0.19,0.095,0.113333333,0.018333333,0.829308383,0.081283945,0,0
SmaI_mm9_115115,chr12,39505531,-1314,0,NM_007960,Etv1,39506845,39594793,+,-89262,NM_001163154,Etv1,39510298,39594793,+,Y,N,N,N,-170,CpG_End,CpG: 34,chr12,39505228,39505701,59.5,0.81,0,0.64,0.85,1.62,NA,2.09,1.08,0,0,0.84,1.83,0.58,1.04,0.721666667,-0.318333333,0.504584232,0.297066325,0,0
SmaI_mm9_115189,chr12,41172307,70,1,NM_178845,Zfp277,41172377,41041633,-,-130674,NM_178845,Zfp277,41172377,41041633,-,Y,N,N,N,36,CpG_Start,CpG: 104,chr12,41172271,41173247,68.3,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_115190,chr12,41172703,63,1,NM_172803,Dock4,41172640,41573075,+,-131070,NM_178845,Zfp277,41172377,41041633,-,Y,N,N,N,432,CpG_Start,CpG: 104,chr12,41172271,41173247,68.3,0.91,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0.13,0.13,0.340893132,0.467381748,0,1
SmaI_mm9_115191,chr12,41172798,158,1,NM_172803,Dock4,41172640,41573075,+,-131165,NM_178845,Zfp277,41172377,41041633,-,Y,N,N,N,-449,CpG_End,CpG: 104,chr12,41172271,41173247,68.3,0.91,0,0.16,0,0,0,0,0,0,0,0,0,0,0.026666667,0,-0.026666667,0.340893132,0.467381748,0,1
SmaI_mm9_115192,chr12,41173089,449,1,NM_172803,Dock4,41172640,41573075,+,-131456,NM_178845,Zfp277,41172377,41041633,-,Y,N,N,N,-158,CpG_End,CpG: 104,chr12,41172271,41173247,68.3,0.91,0.06,0.05,0,0.06,0.09,0.1,0.16,0.14,0.11,0,0,0,0.06,0.068333333,0.008333333,0.813438859,0.089675085,0,1
SmaI_mm9_115193,chr12,41173345,705,0,NM_172803,Dock4,41172640,41573075,+,-131712,NM_178845,Zfp277,41172377,41041633,-,N,N,N,N,98,CpG_End,CpG: 104,chr12,41172271,41173247,68.3,0.91,0,0,0,0.26,0,0.07,0.07,0,0.07,0,0,0.06,0.055,0.033333333,-0.021666667,0.641439712,0.192844156,1,1
SmaI_mm9_115230,chr12,42676977,-464639,0,NM_010733,Lrrn3,42212338,42178255,-,-379596,NM_053122,Immp2l,41750677,43056573,+,N,L1MB2,LINE,L1,925921,CpG_End,CpG: 39,chr12,41750725,41751056,70.8,0.94,62.63,61.24,67.64,70.25,67.32,63.03,65.67,54.87,68.44,61.02,63.7,54.86,65.35166667,61.42666667,-3.925,0.179146023,0.746792829,0,0
SmaI_mm9_115231,chr12,42677276,-464938,0,NM_010733,Lrrn3,42212338,42178255,-,-379297,NM_053122,Immp2l,41750677,43056573,+,N,L1MB2,LINE,L1,926220,CpG_End,CpG: 39,chr12,41750725,41751056,70.8,0.94,38.25,42.09,43.53,51.44,34.6,41.18,63.97,42.44,52.55,43.98,57.89,45.69,41.84833333,51.08666667,9.238333333,0.052553838,1.279395562,0,0
SmaI_mm9_11532,chr2,5058958,136,1,NM_028804,Ccdc3,5058822,5151912,+,-92954,NM_028804,Ccdc3,5058822,5151912,+,Y,N,N,N,-181,CpG_End,CpG: 60,chr2,5058656,5059139,69.2,1.04,0,0,0,0,0,0,1.02,0,0,0,0.45,0,0,0.245,0.245,0.183695475,0.735901542,0,1
SmaI_mm9_11533,chr2,5059404,582,0,NM_028804,Ccdc3,5058822,5151912,+,-92508,NM_028804,Ccdc3,5058822,5151912,+,N,N,N,N,265,CpG_End,CpG: 60,chr2,5058656,5059139,69.2,1.04,1.12,1.2,1.04,3.21,0.85,4.29,3.06,0.79,3.37,5.04,2.82,3.99,1.951666667,3.178333333,1.226666667,0.167334115,0.776415509,1,1
SmaI_mm9_115513,chr12,50484244,250,1,NM_008241,Foxg1,50483994,50487853,+,-3609,NM_008241,Foxg1,50483994,50487853,+,Y,N,N,N,179,CpG_Start,CpG: 224,chr12,50484065,50486795,55,1.1,2.48,2.54,0,2.87,0.52,1.83,1.98,1.09,5.01,5.04,3.16,3.29,1.706666667,3.261666667,1.555,0.083086373,1.080470199,0,1
SmaI_mm9_115514,chr12,50484669,675,0,NM_008241,Foxg1,50483994,50487853,+,-3184,NM_008241,Foxg1,50483994,50487853,+,Y,N,N,N,604,CpG_Start,CpG: 224,chr12,50484065,50486795,55,1.1,8.22,7.42,8.94,11.52,9.72,11.4,10.05,10.38,17.44,10.75,8.86,9.95,9.536666667,11.23833333,1.701666667,0.264534069,0.577518388,0,1
SmaI_mm9_115515,chr12,50485130,1136,0,NM_008241,Foxg1,50483994,50487853,+,-2723,NM_008241,Foxg1,50483994,50487853,+,Y,N,N,N,1065,CpG_Start,CpG: 224,chr12,50484065,50486795,55,1.1,2.18,0,0.98,1.67,1.55,2.25,NA,1.51,5.56,3.36,3.49,4.53,1.438333333,3.69,2.251666667,0.012013982,1.920313023,0,1
SmaI_mm9_115601,chr12,52694404,-38,1,NM_007728,Coch,52694442,52706760,+,-12356,NM_007728,Coch,52694442,52706760,+,Y,N,N,N,329,CpG_Start,CpG: 94,chr12,52694075,52695017,69.1,0.84,0.59,0.56,NA,1.75,0.59,0,0,0,1.62,0,1.6,0.6,0.698,0.636666667,-0.061333333,0.892170167,0.049552303,0,0
SmaI_mm9_115673,chr12,53949075,148705,0,NM_198111,Akap6,53800370,54252002,+,280237,NM_009706,Arhgap5,53617064,53668838,+,N,RMER1B,Other,Other,343118,CpG_End,CpG: 123,chr12,53604788,53605957,62.3,1.12,41.96,44.51,51.28,42.18,52.15,47.25,34.43,48.64,31.53,42.12,42.5,44.71,46.555,40.655,-5.9,0.094601793,1.024100632,0,1
SmaI_mm9_115674,chr12,53949394,149024,0,NM_198111,Akap6,53800370,54252002,+,280556,NM_009706,Arhgap5,53617064,53668838,+,N,RMER1B,Other,Other,343437,CpG_End,CpG: 123,chr12,53604788,53605957,62.3,1.12,69.37,81.37,78.23,76.96,77.39,77.4,69.01,71.07,61.96,76.08,75.27,77.75,76.78666667,71.85666667,-4.93,0.118313914,0.926964178,0,1
SmaI_mm9_115709,chr12,54723113,373449,0,NM_013780,Npas3,54349664,55173162,+,-450049,NM_013780,Npas3,54349664,55173162,+,N,N,N,N,-85160,CpG_Start,CpG: 45,chr12,54808273,54808792,65.4,0.83,89.73,88.05,90.1,87.97,88.31,82.06,91.95,89.26,83.84,88.09,90.17,89.09,87.70333333,88.73333333,1.03,0.540941543,0.266849665,0,1
SmaI_mm9_115714,chr12,54869649,435212,0,NM_028133,Egln3,55304861,55279969,-,-303513,NM_013780,Npas3,54349664,55173162,+,N,N,N,N,60857,CpG_End,CpG: 45,chr12,54808273,54808792,65.4,0.83,46.15,39.24,43.56,44.76,45.72,32.68,39.81,37.38,63.6,42.63,45.2,38.79,42.01833333,44.56833333,2.55,0.584089992,0.233520235,0,0
SmaI_mm9_115715,chr12,54869988,434873,0,NM_028133,Egln3,55304861,55279969,-,-303174,NM_013780,Npas3,54349664,55173162,+,N,N,N,N,61196,CpG_End,CpG: 45,chr12,54808273,54808792,65.4,0.83,30.17,36.97,34.36,45.19,37.98,32.68,48.75,32.2,60.39,44.23,46.81,34.69,36.225,44.51166667,8.286666667,0.107770984,0.967498152,0,0
SmaI_mm9_115740,chr12,55302492,2369,0,NM_028133,Egln3,55304861,55279969,-,-22523,NM_028133,Egln3,55304861,55279969,-,N,N,N,N,-1607,CpG_Start,CpG: 71,chr12,55304099,55304925,67,0.77,41.46,38.64,39.5,48.61,42.97,44.17,31.58,38.96,15.3,46.33,44.55,38.63,42.55833333,35.89166667,-6.666666667,0.200179933,0.69857946,1,1
SmaI_mm9_115741,chr12,55302786,2075,0,NM_028133,Egln3,55304861,55279969,-,-22817,NM_028133,Egln3,55304861,55279969,-,N,N,N,N,-1313,CpG_Start,CpG: 71,chr12,55304099,55304925,67,0.77,59.43,55.28,56.92,65.7,64.06,64.65,45.93,46.85,23.83,56.49,55.37,50.72,61.00666667,46.53166667,-14.475,0.019105457,1.71884257,1,1
SmaI_mm9_115742,chr12,55304909,-48,1,NM_028133,Egln3,55304861,55279969,-,-24940,NM_028133,Egln3,55304861,55279969,-,Y,N,N,N,-16,CpG_End,CpG: 71,chr12,55304099,55304925,67,0.77,0,0.59,0,0.64,1.04,0,NA,0.67,0.58,0,0.76,0,0.378333333,0.402,0.023666667,0.926684064,0.033068305,0,0
SmaI_mm9_115743,chr12,55305386,-525,1,NM_028133,Egln3,55304861,55279969,-,-25417,NM_028133,Egln3,55304861,55279969,-,N,N,N,N,461,CpG_End,CpG: 71,chr12,55304099,55304925,67,0.77,42.37,40.29,48.85,51.28,44.85,42.29,NA,39.41,32.45,40.35,48.84,35.48,44.98833333,39.306,-5.682333333,0.105240686,0.97781633,1,0
SmaI_mm9_115801,chr12,56086041,1282,0,NM_013815,Baz1a,56087323,55993976,-,60607,NR_030764,2700097O09Rik,56181097,56146648,-,Y,N,N,N,93,CpG_Start,CpG: 151,chr12,56085948,56087313,60.7,1.21,0,0,0,0,0,0,0.49,0,0,0.49,0.76,0.42,0,0.36,0.36,0.015351212,1.813857331,0,1
SmaI_mm9_115802,chr12,56086468,855,0,NM_013815,Baz1a,56087323,55993976,-,60180,NR_030764,2700097O09Rik,56181097,56146648,-,Y,GC_rich,Low_complexity,Low_complexity,520,CpG_Start,CpG: 151,chr12,56085948,56087313,60.7,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SmaI_mm9_115803,chr12,56086582,741,0,NM_013815,Baz1a,56087323,55993976,-,60066,NR_030764,2700097O09Rik,56181097,56146648,-,Y,N,N,N,634,CpG_Start,CpG: 151,chr12,56085948,56087313,60.7,1.21,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,1
SmaI_mm9_115804,chr12,56087040,283,1,NM_013815,Baz1a,56087323,55993976,-,59608,NR_030764,2700097O09Rik,56181097,56146648,-,Y,N,N,N,-273,CpG_End,CpG: 151,chr12,56085948,56087313,60.7,1.21,0,0,0,0.2,0.34,0,0,0,0,0,NA,NA,0.09,0,-0.09,0.262419248,0.581004313,0,1
SmaI_mm9_115864,chr12,56700444,540,0,NM_020287,Insm2,56699904,56703004,+,-2560,NM_020287,Insm2,56699904,56703004,+,Y,N,N,N,619,CpG_Start,CpG: 211,chr12,56699825,56701801,65.4,1.01,0.22,0.61,0.9,0.67,0.23,1.07,0.53,0.88,0.78,0.45,0.3,0.4,0.616666667,0.556666667,-0.06,0.729282123,0.137104432,0,1
SmaI_mm9_115865,chr12,56700856,952,0,NM_020287,Insm2,56699904,56703004,+,-2148,NM_020287,Insm2,56699904,56703004,+,Y,N,N,N,-945,CpG_End,CpG: 211,chr12,56699825,56701801,65.4,1.01,0.82,0.18,0,0.6,0.21,0.19,0.22,0.39,0.46,0.41,0.79,0.18,0.333333333,0.408333333,0.075,0.637479588,0.195533717,0,1
SmaI_mm9_115866,chr12,56701018,1114,0,NM_020287,Insm2,56699904,56703004,+,-1986,NM_020287,Insm2,56699904,56703004,+,Y,N,N,N,-783,CpG_End,CpG: 211,chr12,56699825,56701801,65.4,1.01,0.67,0.68,0.58,1.5,0.51,0.83,0.48,0.84,0.88,2.68,1.08,1.35,0.795,1.218333333,0.423333333,0.251560506,0.59935754,0,1
SmaI_mm9_115867,chr12,56701398,1494,0,NM_020287,Insm2,56699904,56703004,+,-1606,NM_020287,Insm2,56699904,56703004,+,Y,N,N,N,-403,CpG_End,CpG: 211,chr12,56699825,56701801,65.4,1.01,0.27,0.28,0,1.26,0.31,1.08,0.36,0.26,0.84,1.25,0,1,0.533333333,0.618333333,0.085,0.772936722,0.111856059,0,1
SmaI_mm9_115897,chr12,57637616,279,1,NM_009385,Nkx2-1,57637895,57632926,-,-4690,NM_001146198,Nkx2-1,57636093,57632926,-,Y,N,N,N,-62,CpG_End,CpG: 59,chr12,57636819,57637678,64.4,0.67,2.1,1.77,1.82,1.72,1.65,2.88,1.96,0.68,1.81,2.08,1.55,1.89,1.99,1.661666667,-0.328333333,0.271190792,0.566725061,0,1
SmaI_mm9_115898,chr12,57637867,28,1,NM_009385,Nkx2-1,57637895,57632926,-,-4941,NM_001146198,Nkx2-1,57636093,57632926,-,N,N,N,N,189,CpG_End,CpG: 59,chr12,57636819,57637678,64.4,0.67,2.11,1.39,1.61,1.24,4.55,0.58,1.38,3.19,1.14,0.63,1.35,2.25,1.913333333,1.656666667,-0.256666667,0.712844715,0.147005066,1,1
SmaI_mm9_11590,chr2,6021498,29733,0,NM_144883,5430407P10Rik,6051231,6019546,-,-1952,NM_001159657,5430407P10Rik,6051231,6019546,-,Y,N,N,N,93,CpG_Start,CpG: 60,chr2,6021405,6022069,66.8,0.81,36.22,26.05,39.97,40.23,34.67,38.88,22.51,36.7,6.42,35.93,39.75,34.81,36.00333333,29.35333333,-6.65,0.26479819,0.577084988,0,1
SmaI_mm9_11591,chr2,6021726,29505,0,NM_144883,5430407P10Rik,6051231,6019546,-,-2180,NM_001159657,5430407P10Rik,6051231,6019546,-,Y,N,N,N,321,CpG_Start,CpG: 60,chr2,6021405,6022069,66.8,0.81,43.36,41.89,43.01,50.91,46.11,45.08,26.71,40.52,17.33,38.78,46.41,39.61,45.06,34.89333333,-10.16666667,0.050751244,1.294553308,0,1
