ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,SPFC1M1,SPFC1M2,SPFC2M1,SPFC2M2,SPFC3M1,SPFC3M2,AvgWT,SpfKoC4M1,SpfKoC4M2,SpfKoC4M5,SpfKoC5M1,SpfKoC5M3,SpfKoC5M4,AvgKO,KO.WT,ttest2,pttest2,cgi.shore,in.gene
SmaI_mm9_127311,chr13,112516071,39685,0,NM_172593,Mier3,112476386,112508802,+,7269,NM_172593,Mier3,112476386,112508802,+,Y,N,N,N,-76,CpG_End,CpG: 79,chr13,112515086,112516147,62.8,0.76,0,0,0,0,0,0,0,0.48,0.43,0.22,0,1.07,0.4,0.433333333,0.433333333,0.014230569,1.846777747,0,0
SmaI_mm9_127325,chr13,112598822,369,1,NM_011945,Map3k1,112599191,112536643,-,-62179,NM_011945,Map3k1,112599191,112536643,-,Y,N,N,N,841,CpG_Start,CpG: 154,chr13,112597981,112599677,51.7,1.36,0,0,0,0,0,0,0,0,0,0.51,0.26,0.28,0,0.175,0.175,0.069486628,1.158098761,0,1
SmaI_mm9_127326,chr13,112599134,57,1,NM_011945,Map3k1,112599191,112536643,-,-62491,NM_011945,Map3k1,112599191,112536643,-,Y,N,N,N,-543,CpG_End,CpG: 154,chr13,112597981,112599677,51.7,1.36,0.65,0,0,0,0,NA,0.13,0,0.5,0.21,0.22,0.55,0.35,0.305,0.175,0.271324096,0.566511636,0,1
SmaI_mm9_127327,chr13,112599336,-145,1,NM_011945,Map3k1,112599191,112536643,-,-62693,NM_011945,Map3k1,112599191,112536643,-,Y,G-rich,Low_complexity,Low_complexity,-341,CpG_End,CpG: 154,chr13,112597981,112599677,51.7,1.36,0,0,0,0,0,0,0,0,0,1.11,0,0,0.29,0.233333333,0.233333333,0.227837272,0.642375228,0,0
SmaI_mm9_127328,chr13,112599645,-454,1,NM_011945,Map3k1,112599191,112536643,-,-63002,NM_011945,Map3k1,112599191,112536643,-,Y,N,N,N,-32,CpG_End,CpG: 154,chr13,112597981,112599677,51.7,1.36,0,0,0,0.33,0,0,0.055,0.61,0.13,0.33,0.27,0.5,0.28,0.353333333,0.298333333,0.007626263,2.117688212,0,0
SmaI_mm9_127329,chr13,112599830,-639,1,NM_011945,Map3k1,112599191,112536643,-,-63187,NM_011945,Map3k1,112599191,112536643,-,N,N,N,N,153,CpG_End,CpG: 154,chr13,112597981,112599677,51.7,1.36,0,0,0,0,0,0.28,0.046666667,0.45,0.31,0.52,0.31,0.22,0.52,0.388333333,0.341666666,0.000600906,3.221193205,1,0
SmaI_mm9_127330,chr13,112600031,-840,1,NM_011945,Map3k1,112599191,112536643,-,-63388,NM_011945,Map3k1,112599191,112536643,-,N,N,N,N,354,CpG_End,CpG: 154,chr13,112597981,112599677,51.7,1.36,0,0,0,0,0,0,0,0,0.45,0.16,0.16,0.35,0.44,0.26,0.26,0.005590726,2.252531806,1,0
SmaI_mm9_127349,chr13,112891128,-187531,0,NM_029898,Ankrd55,113078659,113174210,+,-243721,NM_001168405,Ankrd55,113078659,113134849,+,N,N,N,N,122800,CpG_End,CpG: 20,chr13,112768054,112768328,59.3,0.83,0.21,0.36,0,0,0,0.18,0.125,2.56,0.3,0,1.03,0.61,0.65,0.858333333,0.733333333,0.078174805,1.106933194,0,0
SmaI_mm9_127350,chr13,112891510,-187149,0,NM_029898,Ankrd55,113078659,113174210,+,-243339,NM_001168405,Ankrd55,113078659,113134849,+,N,N,N,N,123182,CpG_End,CpG: 20,chr13,112768054,112768328,59.3,0.83,0.42,0.19,1.42,0.62,0,0.18,0.471666667,1.98,1.89,1.9,2.96,5.24,2.97,2.823333333,2.351666666,0.001975187,2.704391771,0,0
SmaI_mm9_127387,chr13,113442504,14,1,NM_001145885,Ddx4,113442518,113388543,-,-53961,NM_010029,Ddx4,113442518,113388543,-,Y,N,N,N,-207,CpG_End,CpG: 68,chr13,113442168,113442711,74.3,0.91,94.97,93.64,94.54,88.49,91.95,92.79,92.73,95.57,94.11,93.98,94.49,94.2,97.05,94.9,2.17,0.071985039,1.142757755,0,1
SmaI_mm9_127388,chr13,113442771,-253,1,NM_001145885,Ddx4,113442518,113388543,-,-54228,NM_010029,Ddx4,113442518,113388543,-,N,N,N,N,60,CpG_End,CpG: 68,chr13,113442168,113442711,74.3,0.91,97.85,97.14,96.75,93.06,95.53,96.78,96.185,96.24,94.27,95.24,95.73,95.47,95.59,95.42333333,-0.76166667,0.331476205,0.479547641,1,0
SmaI_mm9_127402,chr13,113717822,-179,1,NM_172594,Dhx29,113718001,113759395,+,-41573,NM_172594,Dhx29,113718001,113759395,+,Y,N,N,N,307,CpG_Start,CpG: 57,chr13,113717515,113718170,63.7,0.86,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.078333333,0.078333333,0.340893132,0.467381748,0,0
SmaI_mm9_127403,chr13,113718161,160,1,NM_172594,Dhx29,113718001,113759395,+,-41234,NM_172594,Dhx29,113718001,113759395,+,Y,N,N,N,-9,CpG_End,CpG: 57,chr13,113717515,113718170,63.7,0.86,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.053333333,0.053333333,0.340893132,0.467381748,0,1
SmaI_mm9_127412,chr13,113777783,-227,1,NM_001081062,Ccno,113778010,113780986,+,-3203,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,98,CpG_Start,CpG: 92,chr13,113777685,113778530,69.3,0.91,0,0.18,0,0,0,0,0.03,0,0.28,1.03,0.43,0.34,0.56,0.44,0.41,0.017109951,1.76675124,0,0
SmaI_mm9_127413,chr13,113778132,122,1,NM_001081062,Ccno,113778010,113780986,+,-2854,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,-398,CpG_End,CpG: 92,chr13,113777685,113778530,69.3,0.91,0,0,0,0.25,0,0,0.041666667,0.26,0,1.34,0.29,0.26,0.21,0.393333333,0.351666666,0.106968457,0.970744269,0,1
SmaI_mm9_127414,chr13,113778261,251,1,NM_001081062,Ccno,113778010,113780986,+,-2725,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,-269,CpG_End,CpG: 92,chr13,113777685,113778530,69.3,0.91,0,0.13,0.14,0,0,0,0.045,0.17,0.17,0.1,0.17,0.08,0.09,0.13,0.085,0.030422513,1.51680492,0,1
SmaI_mm9_127415,chr13,113778519,509,0,NM_001081062,Ccno,113778010,113780986,+,-2467,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,-11,CpG_End,CpG: 92,chr13,113777685,113778530,69.3,0.91,0,0,0.14,0,0.2,0,0.056666667,0.35,0.17,0.52,0.09,0.25,0.37,0.291666667,0.235,0.009085755,2.041639,0,1
SmaI_mm9_127416,chr13,113779708,1698,0,NM_001081062,Ccno,113778010,113780986,+,-1278,NM_001081062,Ccno,113778010,113780986,+,N,N,N,N,-116,CpG_Start,CpG: 21,chr13,113779824,113780123,63,0.71,0.96,1.22,1.7,0.68,3.26,1.33,1.525,2.7,1.88,2.54,1.3,4.59,3.12,2.688333333,1.163333333,0.078946114,1.102669242,1,1
SmaI_mm9_127417,chr13,113780000,1990,0,NM_001081062,Ccno,113778010,113780986,+,-986,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,-123,CpG_End,CpG: 21,chr13,113779824,113780123,63,0.71,0.85,0.14,0.9,0.9,0.67,0.13,0.598333333,2.03,2.21,0.82,1.67,2.08,1.79,1.766666667,1.168333334,0.001006666,2.997114436,0,1
SmaI_mm9_127420,chr13,113783925,-151,1,NM_001037914,Gm6320,113784076,113790602,+,2939,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,199,CpG_Start,CpG: 92,chr13,113783726,113784653,69.4,0.83,0,0,0,0,0,0,0,0.34,0.7,0.39,0.23,0.34,0.53,0.421666667,0.421666667,0.000106025,3.97459097,0,0
SmaI_mm9_127421,chr13,113784179,103,1,NM_001037914,Gm6320,113784076,113790602,+,3193,NM_001081062,Ccno,113778010,113780986,+,Y,N,N,N,453,CpG_Start,CpG: 92,chr13,113783726,113784653,69.4,0.83,0.13,0.12,0.13,0.35,0,0.12,0.141666667,1.15,0.87,1.08,0.64,0.96,0.96,0.943333333,0.801666666,3.15E-06,5.501988657,0,1
SmaI_mm9_127469,chr13,114408389,383,1,NM_130796,Snx18,114408772,114382388,-,-26001,NM_130796,Snx18,114408772,114382388,-,Y,N,N,N,-567,CpG_End,CpG: 164,chr13,114407511,114408956,68.4,0.97,0,0,0,0,NA,0,0,0,0,1.35,1.44,0.38,0,0.528333333,0.528333333,0.122995921,0.910109292,0,1
SmaI_mm9_127470,chr13,114408588,184,1,NM_130796,Snx18,114408772,114382388,-,-26200,NM_130796,Snx18,114408772,114382388,-,Y,N,N,N,-368,CpG_End,CpG: 164,chr13,114407511,114408956,68.4,0.97,0,0,0,0,0,0,0,0.19,0.2,0.53,0,0.18,0.21,0.218333333,0.218333333,0.01098687,1.959126015,0,1
SmaI_mm9_127477,chr13,114453179,705,0,NM_019960,Hspb3,114453884,114453104,-,-75,NM_019960,Hspb3,114453884,114453104,-,N,N,N,N,44223,CpG_End,CpG: 164,chr13,114407511,114408956,68.4,0.97,45.82,47.57,36.34,43.42,60.12,43.51,46.13,59.74,57.77,48.83,63.69,62.13,63.17,59.22166667,13.09166667,0.007554994,2.121765899,0,1
SmaI_mm9_127478,chr13,114453587,297,1,NM_019960,Hspb3,114453884,114453104,-,-483,NM_019960,Hspb3,114453884,114453104,-,N,N,N,N,44631,CpG_End,CpG: 164,chr13,114407511,114408956,68.4,0.97,63.71,66.13,74.21,66.83,73.4,63.13,67.90166667,80.91,80.66,NA,80.96,NA,81.9,81.1075,13.20583333,0.000659052,3.181080622,0,1
SmaI_mm9_127489,chr13,114585030,314,1,NM_172595,Arl15,114584716,114947669,+,-131926,NM_019960,Hspb3,114453884,114453104,-,Y,N,N,N,-138,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,0,0,0,0,0,0,0,NA,0,1.32,1.05,0,1.08,0.69,0.69,0.025333866,1.596298531,0,1
SmaI_mm9_12749,chr2,26212127,2940,0,NM_001037747,Card9,26215067,26207832,-,-4295,NM_001037747,Card9,26215067,26207832,-,N,N,N,N,3979,CpG_End,CpG: 79,chr2,26207280,26208148,60.1,1.03,75.14,71.79,80.59,76.78,79.77,68.62,75.44833333,61.62,59.06,65.02,64.24,58.96,57.96,61.14333333,-14.305,8.09E-05,4.091920033,0,1
SmaI_mm9_12750,chr2,26212707,2360,0,NM_001037747,Card9,26215067,26207832,-,-4875,NM_001037747,Card9,26215067,26207832,-,N,N,N,N,4559,CpG_End,CpG: 79,chr2,26207280,26208148,60.1,1.03,87.97,84.06,84.9,84.49,93.87,85.76,86.84166667,87.23,87.93,88.43,89.62,87.61,87.84,88.11,1.26833333,0.433238366,0.36327309,0,1
SmaI_mm9_127500,chr13,114730554,145838,0,NM_172595,Arl15,114584716,114947669,+,-217115,NM_172595,Arl15,114584716,114947669,+,N,N,N,N,145386,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,84.29,83.64,92.46,87.73,89.12,85.19,87.07166667,94.09,90.29,94.44,93.44,92.82,93.19,93.045,5.97333333,0.002600747,2.584901949,0,1
SmaI_mm9_127501,chr13,114730851,146135,0,NM_172595,Arl15,114584716,114947669,+,-216818,NM_172595,Arl15,114584716,114947669,+,N,N,N,N,145683,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,98.67,98.86,98.63,97.88,97.5,98.3,98.30666667,96.47,97.92,97.22,98.69,95.37,97.98,97.275,-1.03166667,0.082416263,1.083987081,0,1
SmaI_mm9_127505,chr13,114753202,168486,0,NM_172595,Arl15,114584716,114947669,+,-194467,NM_172595,Arl15,114584716,114947669,+,N,N,N,N,168034,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,96.22,94.82,96.99,94.39,95.94,96.72,95.84666667,90.05,91.97,91.95,93.2,90.65,91.83,91.60833333,-4.23833334,4.60E-05,4.337263309,0,1
SmaI_mm9_127506,chr13,114753459,168743,0,NM_172595,Arl15,114584716,114947669,+,-194210,NM_172595,Arl15,114584716,114947669,+,N,N,N,N,168291,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,92.9,88.83,92.42,91.81,92.47,85.98,90.735,93.71,93,94.45,88.83,95.89,96.75,93.77166667,3.03666667,0.086864996,1.061155197,0,1
SmaI_mm9_127509,chr13,114797243,212527,0,NM_172595,Arl15,114584716,114947669,+,-150426,NM_172595,Arl15,114584716,114947669,+,N,N,N,N,212075,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,96.4,93.49,95.85,96.8,95.45,94.23,95.37,94.64,95.72,96.91,96,96.24,94.36,95.645,0.275,0.684084086,0.164890513,0,1
SmaI_mm9_12751,chr2,26213014,2053,0,NM_001037747,Card9,26215067,26207832,-,-5182,NM_001037747,Card9,26215067,26207832,-,N,N,N,N,4866,CpG_End,CpG: 79,chr2,26207280,26208148,60.1,1.03,53.8,43.63,52.62,48.15,50.97,46.97,49.35666667,56.57,53.67,50.77,42.53,58.27,57.56,53.22833333,3.87166666,0.208670622,0.68053869,0,1
SmaI_mm9_127510,chr13,114797503,212787,0,NM_172595,Arl15,114584716,114947669,+,-150166,NM_172595,Arl15,114584716,114947669,+,N,B4A,SINE,B4,212335,CpG_End,CpG: 67,chr13,114584364,114585168,60.2,0.92,97.54,97.15,97.58,99.27,98.41,97.4,97.89166667,98.26,98.43,98.64,98.23,98.69,97.91,98.36,0.46833333,0.206327621,0.68544263,0,1
SmaI_mm9_127606,chr13,117099738,158,1,NM_021459,Isl1,117099896,117088478,-,-11260,NM_021459,Isl1,117099896,117088478,-,N,N,N,N,-31,CpG_Start,CpG: 82,chr13,117099769,117100473,69.5,0.96,0.35,0.15,0.16,0.55,0,0.14,0.225,1.16,0.54,0.75,1.36,0.35,1.2,0.893333333,0.668333333,0.004552022,2.341795629,1,1
SmaI_mm9_127607,chr13,117100116,-220,1,NM_021459,Isl1,117099896,117088478,-,-11638,NM_021459,Isl1,117099896,117088478,-,Y,N,N,N,347,CpG_Start,CpG: 82,chr13,117099769,117100473,69.5,0.96,0.18,0.16,0.17,0.39,0.24,0.45,0.265,0,1.78,0,0.35,0.74,1.57,0.74,0.475,0.170010176,0.769525084,0,0
SmaI_mm9_127743,chr13,120217253,-154,1,NM_001079849,Paip1,120217407,120249127,+,-31874,NM_001079849,Paip1,120217407,120249127,+,Y,N,N,N,69,CpG_Start,CpG: 153,chr13,120217184,120218521,67,1.02,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0.148333333,0.148333333,0.340893132,0.467381748,0,0
SmaI_mm9_128132,chr14,8650600,129,1,NM_134080,Flnb,8650471,8784101,+,-133501,NM_134080,Flnb,8650471,8784101,+,Y,N,N,N,224,CpG_Start,CpG: 79,chr14,8650376,8651395,60.8,0.84,0,0,0,0,0,0,0,1.06,1.34,1.89,0,1.32,2.03,1.273333333,1.273333333,0.001552722,2.808906171,0,1
SmaI_mm9_128133,chr14,8651036,565,0,NM_134080,Flnb,8650471,8784101,+,-133065,NM_134080,Flnb,8650471,8784101,+,Y,N,N,N,-359,CpG_End,CpG: 79,chr14,8650376,8651395,60.8,0.84,0,0.29,0,0,0,0,0.048333333,0.9,0,0,1.9,1.12,0,0.653333333,0.605,0.092934188,1.031824492,0,1
SmaI_mm9_128138,chr14,8763384,63312,0,NM_007870,Dnase1l3,8826696,8797704,-,-20717,NM_134080,Flnb,8650471,8784101,+,N,N,N,N,-71809,CpG_Start,CpG: 30,chr14,8835193,8835522,63.3,0.98,97.47,98.92,99.27,97.97,98.7,98.76,98.515,98.08,99.42,98.46,98.33,98.35,98.1,98.45666667,-0.05833333,0.866701375,0.062130514,0,0
SmaI_mm9_128139,chr14,8763659,63037,0,NM_007870,Dnase1l3,8826696,8797704,-,-20442,NM_134080,Flnb,8650471,8784101,+,N,N,N,N,-71534,CpG_Start,CpG: 30,chr14,8835193,8835522,63.3,0.98,92.88,92.52,91.19,90.79,93.47,92.44,92.215,91.3,94.5,91.41,92.14,92.13,92.52,92.33333333,0.11833333,0.855146693,0.06795938,0,0
SmaI_mm9_128209,chr14,10036995,-538191,0,NM_028934,4930452B06Rik,9498804,9263686,-,345613,NM_010210,Fhit,11994546,10382608,-,N,N,N,N,538144,CpG_End,CpG: 32,chr14,9498577,9498851,68.4,1.01,96.3,95.4,96.93,94.04,NA,96.59,95.852,97.87,96.77,97.37,95.98,97.03,96.15,96.86166667,1.00966667,0.110580294,0.95632226,0,0
SmaI_mm9_12822,chr2,26897226,-13708,0,NM_172659,Slc2a6,26883518,26876885,-,19932,NM_001159602,Tmem8c,26923388,26917158,-,N,N,N,N,13517,CpG_End,CpG: 31,chr2,26883338,26883709,65.1,0.79,56.42,39.16,46.69,42.35,48.32,40.06,45.5,51.23,50.94,45.43,41.62,53.93,56.95,50.01666667,4.51666667,0.224796534,0.648210389,0,0
SmaI_mm9_12823,chr2,26897478,-13960,0,NM_172659,Slc2a6,26883518,26876885,-,19680,NM_001159602,Tmem8c,26923388,26917158,-,N,N,N,N,13769,CpG_End,CpG: 31,chr2,26883338,26883709,65.1,0.79,74.05,71.93,65.71,79.2,74.84,64.48,71.70166667,63.28,72.49,67.53,65.24,67.18,67.36,67.18,-4.52166667,0.115930487,0.935802338,0,0
SmaI_mm9_128289,chr14,12385200,-867,1,NM_008981,Ptprg,12386067,13074553,+,-689353,NM_008981,Ptprg,12386067,13074553,+,N,N,N,N,-680,CpG_Start,CpG: 97,chr14,12385880,12386974,61.6,0.93,1.05,0.46,1.47,0.18,0.7,0,0.643333333,2.23,2.34,2.27,1.46,1.94,1.69,1.988333333,1.345,0.000515014,3.288180605,1,0
SmaI_mm9_128290,chr14,12385526,-541,1,NM_008981,Ptprg,12386067,13074553,+,-689027,NM_008981,Ptprg,12386067,13074553,+,N,N,N,N,-354,CpG_Start,CpG: 97,chr14,12385880,12386974,61.6,0.93,0.86,0.15,0.45,1.25,1.17,0.55,0.738333333,2.14,4.06,2.34,1.6,2.7,2.41,2.541666667,1.803333334,0.000806501,3.093395078,1,0
SmaI_mm9_128291,chr14,12386450,383,1,NM_008981,Ptprg,12386067,13074553,+,-688103,NM_008981,Ptprg,12386067,13074553,+,Y,N,N,N,-524,CpG_End,CpG: 97,chr14,12385880,12386974,61.6,0.93,0.37,0.15,0.8,0.34,0.62,0.27,0.425,1.77,1.68,1.48,1.8,2.89,2.91,2.088333333,1.663333333,0.000137236,3.862532266,0,1
SmaI_mm9_128292,chr14,12386845,778,0,NM_008981,Ptprg,12386067,13074553,+,-687708,NM_008981,Ptprg,12386067,13074553,+,Y,N,N,N,-129,CpG_End,CpG: 97,chr14,12385880,12386974,61.6,0.93,0.18,0.14,0.26,0.32,0.83,0,0.288333333,0.65,0.52,0.68,0.28,2.55,1.51,1.031666667,0.743333334,0.070389381,1.152492851,0,1
SmaI_mm9_128408,chr14,14765813,27926,0,NM_001013578,Thoc7,14793739,14783455,-,15715,NM_025435,Thoc7,14793739,14781528,-,N,N,N,N,-27527,CpG_Start,CpG: 93,chr14,14793340,14794234,62.8,1.08,53.68,54.14,69.94,59.86,57.21,48.37,57.2,64.06,61.49,61.8,66.92,66.1,62.87,63.87333333,6.67333333,0.058982592,1.229276149,0,0
SmaI_mm9_128409,chr14,14766131,27608,0,NM_001013578,Thoc7,14793739,14783455,-,15397,NM_025435,Thoc7,14793739,14781528,-,N,RLTR1B-int,LTR,ERV1,-27209,CpG_Start,CpG: 93,chr14,14793340,14794234,62.8,1.08,38.3,37.87,35.85,37.25,31.8,29.4,35.07833333,37.13,27.38,37.66,44.5,32.34,30.59,34.93333333,-0.145,0.961153033,0.017207459,0,0
SmaI_mm9_128414,chr14,14794102,-363,1,NM_001013578,Thoc7,14793739,14783455,-,-10647,NM_001013578,Thoc7,14793739,14783455,-,Y,N,N,N,-132,CpG_End,CpG: 93,chr14,14793340,14794234,62.8,1.08,0,0,0,0,0,0,0,0,0,0,0.52,0,0.96,0.246666667,0.246666667,0.16818331,0.774217105,0,0
SmaI_mm9_128436,chr14,15181344,2335,0,NM_008369,Il3ra,15179009,15188004,+,-6660,NM_008369,Il3ra,15179009,15188004,+,N,N,N,N,2263,CpG_End,CpG: 92,chr14,15178056,15179081,65.8,0.83,99.67,98.9,98.67,99.13,99.01,97.62,98.83333333,98.78,99.13,99.4,98.91,99.45,99.84,99.25166667,0.41833334,0.221206807,0.655201513,0,1
SmaI_mm9_12844,chr2,26997618,376,1,NM_175427,Fam163b,26997994,26967523,-,-30095,NM_175427,Fam163b,26997994,26967523,-,Y,N,N,N,30,CpG_Start,CpG: 46,chr2,26997588,26998116,64.3,0.84,7.77,9.45,11.02,12.24,12.21,8.13,10.13666667,13.39,11.27,15.1,10.35,12.09,14.55,12.79166667,2.655,0.038227707,1.417621753,0,1
SmaI_mm9_12845,chr2,26997973,21,1,NM_175427,Fam163b,26997994,26967523,-,-30450,NM_175427,Fam163b,26997994,26967523,-,Y,GC_rich,Low_complexity,Low_complexity,-143,CpG_End,CpG: 46,chr2,26997588,26998116,64.3,0.84,0.13,0.21,0.86,0.27,0.15,0.09,0.285,0.82,1.06,0.67,0.91,2.14,0.67,1.045,0.76,0.01407624,1.851513322,0,1
SmaI_mm9_128483,chr14,16305745,-34244,0,NM_146052,Lrrc3b,16271501,16190033,-,-115712,NM_146052,Lrrc3b,16271501,16190033,-,N,RLTR27,LTR,ERVK,34166,CpG_End,CpG: 42,chr14,16271218,16271579,70.4,0.97,94.52,96.52,94.51,92.12,93.34,92.5,93.91833333,91.76,91.24,92.68,92.38,90.67,90.81,91.59,-2.32833333,0.01048345,1.979495753,0,0
SmaI_mm9_128537,chr14,17407493,231,1,NM_011243,Rarb,17407724,17263354,-,-144139,NM_011243,Rarb,17407724,17263354,-,N,N,N,N,-246,CpG_Start,CpG: 47,chr14,17407739,17408295,64.5,0.83,2.69,2.7,1.72,3.13,3.56,3.05,2.808333333,2.31,4.71,7.5,5.02,1.5,5.27,4.385,1.576666667,0.118420991,0.92657131,1,1
SmaI_mm9_128538,chr14,17407867,-143,1,NM_011243,Rarb,17407724,17263354,-,-144513,NM_011243,Rarb,17407724,17263354,-,Y,N,N,N,128,CpG_Start,CpG: 47,chr14,17407739,17408295,64.5,0.83,0.5,0,0.48,0.25,0.33,0,0.26,1.23,0.93,1,0.56,1.96,1.95,1.271666667,1.011666667,0.002351818,2.628596338,0,0
SmaI_mm9_12858,chr2,27131336,-29004,0,NM_138665,Sardh,27102332,27044902,-,-12181,NM_009500,Vav2,27282345,27119155,-,N,N,N,N,133220,CpG_End,CpG: 46,chr2,26997588,26998116,64.3,0.84,95.47,93.46,88.09,92.79,97.27,93,93.34666667,83.15,91.71,85.82,90.75,87.33,88.82,87.93,-5.41666667,0.01364904,1.864897892,0,0
SmaI_mm9_12859,chr2,27131617,-29285,0,NM_138665,Sardh,27102332,27044902,-,-12462,NM_009500,Vav2,27282345,27119155,-,N,N,N,N,133501,CpG_End,CpG: 46,chr2,26997588,26998116,64.3,0.84,96,88.43,87.94,89.15,94.77,90.25,91.09,82.56,89.63,88.74,89.53,82.51,85.39,86.39333333,-4.69666667,0.037870593,1.421697889,0,0
SmaI_mm9_128626,chr14,19071058,562,0,NM_011584,Nr1d2,19071620,19036570,-,29279,NM_025586,Rpl15,19103500,19100337,-,Y,N,N,N,319,CpG_Start,CpG: 128,chr14,19070739,19071926,70.8,0.89,0,0.12,0,0,0.19,0,0.051666667,0.45,0.32,0.37,0.76,0,0.72,0.436666667,0.385,0.009136731,2.039209156,0,1
SmaI_mm9_128627,chr14,19071377,243,1,NM_011584,Nr1d2,19071620,19036570,-,28960,NM_025586,Rpl15,19103500,19100337,-,Y,N,N,N,-549,CpG_End,CpG: 128,chr14,19070739,19071926,70.8,0.89,0,0,0,0.16,0,0,0.026666667,0.24,0.69,0.57,0.27,0.27,0,0.34,0.313333333,0.01385721,1.858324195,0,1
SmaI_mm9_128636,chr14,19164082,276,1,NM_009455,Ube2e1,19164358,19115243,-,47568,NM_023526,Nkiras1,19103656,19116514,+,Y,(CCCG)n,Simple_repeat,Simple_repeat,-407,CpG_End,CpG: 74,chr14,19163568,19164489,50.8,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.068333333,0.068333333,0.340893132,0.467381748,0,1
SmaI_mm9_128637,chr14,19164423,-65,1,NM_009455,Ube2e1,19164358,19115243,-,47909,NM_023526,Nkiras1,19103656,19116514,+,Y,N,N,N,-66,CpG_End,CpG: 74,chr14,19163568,19164489,50.8,1.25,0,0,0,0,0,0,0,0,0,0,0,0.43,0.77,0.2,0.2,0.166105066,0.779617121,0,0
SmaI_mm9_128744,chr14,21040552,-39548,0,NM_021542,Kcnk5,21001004,20959280,-,41427,NM_029006,Kcnk16,21088384,21081979,-,N,N,N,N,39286,CpG_End,CpG: 42,chr14,21000778,21001266,63.4,0.86,54.4,35.82,52.02,38.84,46.13,31.86,43.17833333,56.89,55.77,48.63,31.49,56.76,64.69,52.37166667,9.19333334,0.154195531,0.811928214,0,0
SmaI_mm9_128745,chr14,21040960,-39956,0,NM_021542,Kcnk5,21001004,20959280,-,41019,NM_029006,Kcnk16,21088384,21081979,-,N,N,N,N,39694,CpG_End,CpG: 42,chr14,21000778,21001266,63.4,0.86,98.88,98.54,98.82,99.16,98.53,98.06,98.665,96.39,96.83,97.36,97.8,97.67,95.11,96.86,-1.805,0.002114111,2.674872193,0,0
SmaI_mm9_128773,chr14,21365379,416,1,NM_008914,Ppp3cb,21365795,21318536,-,2755,NM_030180,Usp54,21437576,21368134,-,Y,N,N,N,310,CpG_Start,CpG: 87,chr14,21365069,21365823,69.4,0.96,0,0,0,0,0,0,0,0.45,0.59,0.23,0.48,0.23,1.09,0.511666667,0.511666667,0.002742393,2.561870251,0,1
SmaI_mm9_128774,chr14,21365641,154,1,NM_008914,Ppp3cb,21365795,21318536,-,2493,NM_030180,Usp54,21437576,21368134,-,Y,GC_rich,Low_complexity,Low_complexity,-182,CpG_End,CpG: 87,chr14,21365069,21365823,69.4,0.96,0,0,0,0,0,0,0,0,0.68,0.53,0,0,0.49,0.283333333,0.283333333,0.053255132,1.273638533,0,1
SmaI_mm9_128778,chr14,21460035,15727,0,NM_021508,Myoz1,21475762,21468324,-,8289,NM_021508,Myoz1,21475762,21468324,-,Y,N,N,N,101,CpG_Start,CpG: 60,chr14,21459934,21460547,62.1,1.04,0,0.23,0,0,0.37,0,0.1,0.66,0.76,1.11,0.37,0.29,0.3,0.581666667,0.481666667,0.008616687,2.064659691,0,0
SmaI_mm9_128779,chr14,21460360,15402,0,NM_021508,Myoz1,21475762,21468324,-,7964,NM_021508,Myoz1,21475762,21468324,-,Y,N,N,N,-187,CpG_End,CpG: 60,chr14,21459934,21460547,62.1,1.04,0,0,0.1,0,0,0,0.016666667,0,0.09,0.21,0.1,0.09,0.5,0.165,0.148333333,0.073582576,1.133225013,0,0
SmaI_mm9_128780,chr14,21460673,15089,0,NM_021508,Myoz1,21475762,21468324,-,7651,NM_021508,Myoz1,21475762,21468324,-,N,N,N,N,126,CpG_End,CpG: 60,chr14,21459934,21460547,62.1,1.04,0,0,0,0,0.25,0,0.041666667,0,0.41,0.3,0.44,0.24,0.14,0.255,0.213333333,0.02329955,1.63265246,1,0
