ID,Chromosome,Position,Distance2TSS_GeneA,In.prom,RefSeq_GeneA,Name_GeneA,TSS_GeneA,TSE_GeneA,Strand_GeneA,Distance2TSE_GeneB,RefSeq_GeneB,Name_GeneB,TSS_GeneB,TSE_GeneB,Strand_GeneB,inCpG,RepeatName,RepeatClass,RepeatFamily,Distance2CpG,Which_CpG_Edge,CpG_Name,CpG_Chr,CpG_Start,CpG_End,CpG_perGc,CpG_obsExp,GF3_1,GF4_1,GF5_1,GF6_1,GF7_1,GF8_1,AvgWT,GfKoAomC2M1,GfKoAomC2M2,GfKoAomC3M1,GfKoAomC5F1,GfKoAomC5F2,GfKoAomC5F3,AvgKO,KO.WT,ttest2,pttest2,cgi.shore
SmaI_mm9_142052,chr15,103170899,-382,1,NM_013866,Zfp385a,103170517,103144326,-,3821,NM_010577,Itga5,103197179,103174720,-,N,N,N,N,16884,CpG_End,CpG: 40,chr15,103153648,103154015,79.3,0.77,3.64,3.96,3.94,4.32,3.38,3.35,3.765,2.99,2.03,2.09,2.98,2.12,1.77,2.33,-1.435,0.000278941,3.554486904,0
SmaI_mm9_142053,chr15,103171244,-727,1,NM_013866,Zfp385a,103170517,103144326,-,3476,NM_010577,Itga5,103197179,103174720,-,N,N,N,N,17229,CpG_End,CpG: 40,chr15,103153648,103154015,79.3,0.77,3.3,2.61,1.85,2.56,3.19,2.41,2.653333333,1.63,1.94,1.59,2.43,2.01,1.11,1.785,-0.868333333,0.012226421,1.912700638,0
SmaI_mm9_142065,chr15,103359962,8461,0,NM_021391,Ppp1r1a,103368423,103360710,-,-521,NM_008800,Pde1b,103333729,103360483,+,N,N,N,N,-8152,CpG_Start,CpG: 47,chr15,103368114,103368606,71,0.76,54.07,43.34,50.54,50.61,43.39,46.32,48.045,41.95,45.34,45.67,46.59,47.3,41.93,44.79666667,-3.24833333,0.139380804,0.855797036,0
SmaI_mm9_142066,chr15,103360165,8258,0,NM_021391,Ppp1r1a,103368423,103360710,-,-318,NM_008800,Pde1b,103333729,103360483,+,N,N,N,N,-7949,CpG_Start,CpG: 47,chr15,103368114,103368606,71,0.76,27.43,17.86,19.36,19.91,NA,28.16,22.544,27.12,28.53,33.64,30.78,36.8,42.62,33.24833333,10.70433333,0.009482878,2.023059851,0
SmaI_mm9_142111,chr16,3743894,-205,1,NM_148924,Zfp263,3744099,3750788,+,-6894,NM_148924,Zfp263,3744099,3750788,+,N,N,N,N,-54,CpG_Start,CpG: 52,chr16,3743948,3744604,63.9,0.78,0,0,0,1.45,NA,NA,0.3625,0,0,0,0,0,0,0,-0.3625,0.241503972,0.617075722,1
SmaI_mm9_142112,chr16,3744159,60,1,NM_148924,Zfp263,3744099,3750788,+,-6629,NM_148924,Zfp263,3744099,3750788,+,Y,N,N,N,211,CpG_Start,CpG: 52,chr16,3743948,3744604,63.9,0.78,0,0,0,0,0.33,0,0.055,0,0,0,0,0,0,0,-0.055,0.340893132,0.467381748,0
SmaI_mm9_142113,chr16,3744539,440,1,NM_148924,Zfp263,3744099,3750788,+,-6249,NM_148924,Zfp263,3744099,3750788,+,Y,N,N,N,-65,CpG_End,CpG: 52,chr16,3743948,3744604,63.9,0.78,0,0,0.59,0,0,0,0.098333333,0,0,0,0,0,0.73,0.121666667,0.023333334,0.884395864,0.053353297,0
SmaI_mm9_142138,chr16,4167798,45606,0,NM_001025432,Crebbp,4213404,4084048,-,-63407,NR_003628,Gm5766,4229229,4231205,+,N,L1Md_F,LINE,L1,-45037,CpG_Start,CpG: 134,chr16,4212835,4214506,50.4,1.27,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,0,0
SmaI_mm9_142162,chr16,4545049,14671,0,NM_031182,Tcfap4,4559720,4544661,-,-388,NM_031182,Tcfap4,4559720,4544661,-,N,N,N,N,3069,CpG_End,CpG: 30,chr16,4541729,4541980,69,1,65.82,63.67,70.53,69.11,62.43,62.24,65.63333333,54.32,49.73,61.71,54.97,50.44,52.46,53.93833333,-11.695,0.000439493,3.357047897,0
SmaI_mm9_142163,chr16,4545376,14344,0,NM_031182,Tcfap4,4559720,4544661,-,-715,NM_031182,Tcfap4,4559720,4544661,-,N,N,N,N,3396,CpG_End,CpG: 30,chr16,4541729,4541980,69,1,36.31,42.56,45.03,53.12,35.98,42.34,42.55666667,36.24,29.85,42.03,36.54,32.18,39.75,36.09833333,-6.45833334,0.069611012,1.157322051,0
SmaI_mm9_142165,chr16,4552257,7463,0,NM_031182,Tcfap4,4559720,4544661,-,-7596,NM_031182,Tcfap4,4559720,4544661,-,N,N,N,N,-6341,CpG_Start,CpG: 84,chr16,4558598,4559691,63.4,0.76,87.53,88.27,86.86,92.54,88.4,87.41,88.50166667,87.85,86.11,87.91,86,84.97,89.49,87.055,-1.44666667,0.209189705,0.679459693,0
SmaI_mm9_142166,chr16,4552490,7230,0,NM_031182,Tcfap4,4559720,4544661,-,-7829,NM_031182,Tcfap4,4559720,4544661,-,N,N,N,N,-6108,CpG_Start,CpG: 84,chr16,4558598,4559691,63.4,0.76,91.28,92.06,92.23,95.44,96.64,89.7,92.89166667,90.23,89.61,87.15,88.61,89.05,87.67,88.72,-4.17166667,0.005190073,2.284826518,0
SmaI_mm9_142168,chr16,4559368,352,1,NM_031182,Tcfap4,4559720,4544661,-,-14707,NM_031182,Tcfap4,4559720,4544661,-,Y,N,N,N,-323,CpG_End,CpG: 84,chr16,4558598,4559691,63.4,0.76,0,0,0.56,0,0,0.43,0.165,0,0,0,0,0,0,0,-0.165,0.149567157,0.825163762,0
SmaI_mm9_142169,chr16,4559717,3,1,NM_031182,Tcfap4,4559720,4544661,-,-15056,NM_031182,Tcfap4,4559720,4544661,-,N,N,N,N,26,CpG_End,CpG: 84,chr16,4558598,4559691,63.4,0.76,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0.051666667,0.051666667,0.340893132,0.467381748,1
SmaI_mm9_142173,chr16,4594949,236,1,NM_031184,Glis2,4594713,4615957,+,-21008,NM_031184,Glis2,4594713,4615957,+,Y,N,N,N,-198,CpG_End,CpG: 88,chr16,4594012,4595147,54.8,1.03,0,0,0.28,0,0,0.2,0.08,0.07,0,0.16,0,0.05,0.07,0.058333333,-0.021666667,0.711826074,0.147626108,0
SmaI_mm9_142174,chr16,4595209,496,1,NM_031184,Glis2,4594713,4615957,+,-20748,NM_031184,Glis2,4594713,4615957,+,N,GC_rich,Low_complexity,Low_complexity,62,CpG_End,CpG: 88,chr16,4594012,4595147,54.8,1.03,0,0,0,0,0,0.24,0.04,0.21,0.15,0.22,0.25,0,0,0.138333333,0.098333333,0.13653805,0.864746303,1
SmaI_mm9_142187,chr16,4708849,10210,0,NM_026393,Nmral1,4719059,4711318,-,1159,NM_001135112,Dnaja3,4684070,4707690,+,N,N,N,N,-17451,CpG_Start,CpG: 53,chr16,4726300,4726876,62.2,0.95,93.45,93.35,94.36,95.75,95.01,95.04,94.49333333,94.39,93.99,92.64,94.35,93.72,93.44,93.755,-0.73833333,0.149672229,0.824858774,0
SmaI_mm9_142188,chr16,4709077,9982,0,NM_026393,Nmral1,4719059,4711318,-,1387,NM_001135112,Dnaja3,4684070,4707690,+,N,N,N,N,-17223,CpG_Start,CpG: 53,chr16,4726300,4726876,62.2,0.95,83.13,85.51,82.83,86.86,88.94,83.3,85.095,88.65,83.7,84.07,87.49,84.36,92.6,86.81166667,1.71666667,0.347141365,0.459493633,0
SmaI_mm9_142190,chr16,4726508,147,1,NM_001136066,Hmox2,4726361,4766248,+,-15190,NM_026393,Nmral1,4719059,4711318,-,Y,N,N,N,208,CpG_Start,CpG: 53,chr16,4726300,4726876,62.2,0.95,0.12,0,0,0,0,0,0.02,0,0,0,0.12,0,0,0.02,0,1,0,0
SmaI_mm9_142191,chr16,4726866,505,0,NM_001136066,Hmox2,4726361,4766248,+,-15548,NM_026393,Nmral1,4719059,4711318,-,Y,N,N,N,-10,CpG_End,CpG: 53,chr16,4726300,4726876,62.2,0.95,0.12,0,0,0,0,0.11,0.038333333,0,0,0,0,0,0,0,-0.038333333,0.14543861,0.837320286,0
SmaI_mm9_142206,chr16,4861420,18431,0,NM_145359,Fam100a,4879851,4874780,-,-6271,NM_030192,4930562C15Rik,4835416,4867691,+,N,N,N,N,-17812,CpG_Start,CpG: 145,chr16,4879232,4881005,60.4,0.9,30.97,53.21,38.1,56.26,50.26,51.72,46.75333333,42.25,36.52,34.53,36.25,21.49,25.6,32.77333333,-13.98,0.021453369,1.668504488,0
SmaI_mm9_142207,chr16,4861649,18202,0,NM_145359,Fam100a,4879851,4874780,-,-6042,NM_030192,4930562C15Rik,4835416,4867691,+,N,N,N,N,-17583,CpG_Start,CpG: 145,chr16,4879232,4881005,60.4,0.9,22.64,34.58,28.35,32.67,22.36,28.32,28.15333333,25.02,27.97,24.51,24.79,19.11,20.38,23.63,-4.52333333,0.0942531,1.025704355,0
SmaI_mm9_142231,chr16,5020420,-6774,0,NM_133185,Rogdi,5013646,5008822,-,-6425,NM_001079814,Glyr1,5050003,5013995,-,N,N,N,N,6546,CpG_End,CpG: 49,chr16,5013306,5013874,59.9,0.97,95.69,91.88,94.44,95.09,95.5,93.07,94.27833333,94.52,95.53,96.84,93.13,96.65,99.39,96.01,1.73166667,0.138194135,0.859510387,0
SmaI_mm9_142232,chr16,5020809,-7163,0,NM_133185,Rogdi,5013646,5008822,-,-6814,NM_001079814,Glyr1,5050003,5013995,-,N,B1_Mur4,SINE,Alu,6935,CpG_End,CpG: 49,chr16,5013306,5013874,59.9,0.97,99.48,100,99.74,100,99.53,99.75,99.75,100,100,100,100,99.5,100,99.91666667,0.16666667,0.20562698,0.686919902,0
SmaI_mm9_142237,chr16,5050449,288,1,NM_026666,Ubn1,5050161,5086378,+,-35929,NM_026666,Ubn1,5050161,5086378,+,Y,N,N,N,-426,CpG_End,CpG: 152,chr16,5049455,5050875,66.7,0.97,0,0.13,0,0,0,0,0.021666667,0,0,0,0,0,0,0,-0.021666667,0.340893132,0.467381748,0
SmaI_mm9_142238,chr16,5050772,611,0,NM_026666,Ubn1,5050161,5086378,+,-35606,NM_026666,Ubn1,5050161,5086378,+,Y,N,N,N,-103,CpG_End,CpG: 152,chr16,5049455,5050875,66.7,0.97,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.018333333,0.018333333,0.340893132,0.467381748,0
SmaI_mm9_142260,chr16,5203414,691,0,NM_013796,Nagpa,5204105,5195373,-,-8041,NM_013796,Nagpa,5204105,5195373,-,N,N,N,N,-39,CpG_Start,CpG: 77,chr16,5203453,5204113,70.3,0.94,0,0.61,0.38,0.97,0.71,0,0.445,0,0.67,0,0,0,0,0.111666667,-0.333333333,0.119121411,0.924010172,1
SmaI_mm9_142261,chr16,5203822,283,1,NM_013796,Nagpa,5204105,5195373,-,8091,NM_001033220,AU021092,5222392,5211913,-,Y,N,N,N,-291,CpG_End,CpG: 77,chr16,5203453,5204113,70.3,0.94,0,0,0,0,0.19,0,0.031666667,0,0,0.03,0,0,0,0.005,-0.026666667,0.424938828,0.371673585,0
SmaI_mm9_142262,chr16,5204055,50,1,NM_013796,Nagpa,5204105,5195373,-,7858,NM_001033220,AU021092,5222392,5211913,-,Y,N,N,N,-58,CpG_End,CpG: 77,chr16,5203453,5204113,70.3,0.94,0.36,0,0.36,0,0,0,0.12,0.04,0,0.04,0.04,0.03,0.22,0.061666667,-0.058333333,0.495561611,0.304902344,0
SmaI_mm9_142463,chr16,8738418,17,1,NM_001003918,Usp7,8738435,8688815,-,-49603,NM_001003918,Usp7,8738435,8688815,-,Y,GC_rich,Low_complexity,Low_complexity,616,CpG_Start,CpG: 133,chr16,8737802,8739354,50.6,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_142475,chr16,8829464,-729,1,NM_001081400,1810013L24Rik,8830193,8859017,+,-29553,NM_001081400,1810013L24Rik,8830193,8859017,+,Y,N,N,N,32,CpG_Start,CpG: 185,chr16,8829432,8831325,66.1,0.9,0,0,0,0,0,0.09,0.015,0,0,0.05,0,0,0,0.008333333,-0.006666667,0.705778702,0.151331452,0
SmaI_mm9_142476,chr16,8829766,-427,1,NM_001081400,1810013L24Rik,8830193,8859017,+,-29251,NM_001081400,1810013L24Rik,8830193,8859017,+,Y,N,N,N,334,CpG_Start,CpG: 185,chr16,8829432,8831325,66.1,0.9,0,0.08,0,0,0,0,0.013333333,0,0,0,0,0,0,0,-0.013333333,0.340893132,0.467381748,0
SmaI_mm9_142477,chr16,8830468,275,1,NM_001081400,1810013L24Rik,8830193,8859017,+,-28549,NM_001081400,1810013L24Rik,8830193,8859017,+,Y,N,N,N,-857,CpG_End,CpG: 185,chr16,8829432,8831325,66.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_142478,chr16,8830855,662,0,NM_001081400,1810013L24Rik,8830193,8859017,+,-28162,NM_001081400,1810013L24Rik,8830193,8859017,+,Y,N,N,N,-470,CpG_End,CpG: 185,chr16,8829432,8831325,66.1,0.9,0.16,0,0,0,0,0,0.026666667,0,0,0,0,0.15,0,0.025,-0.001666667,0.964529889,0.01568431,0
SmaI_mm9_142498,chr16,9213349,383156,0,NM_001081400,1810013L24Rik,8830193,8859017,+,354332,NM_001081400,1810013L24Rik,8830193,8859017,+,N,N,N,N,382024,CpG_End,CpG: 185,chr16,8829432,8831325,66.1,0.9,87.22,85.68,93.69,90.82,95.93,92.34,90.94666667,92.42,93.3,93.78,92.49,95.64,97.88,94.25166667,3.305,0.098321429,1.007351816,0
SmaI_mm9_142499,chr16,9213566,383373,0,NM_001081400,1810013L24Rik,8830193,8859017,+,354549,NM_001081400,1810013L24Rik,8830193,8859017,+,N,N,N,N,382241,CpG_End,CpG: 185,chr16,8829432,8831325,66.1,0.9,97.04,93.74,97.1,96.77,95.78,93.49,95.65333333,96.82,94.96,95.26,94.48,97.07,99.13,96.28666667,0.63333334,0.531741441,0.274299492,0
SmaI_mm9_142532,chr16,9993918,-1292,0,NM_008170,Grin2a,9992626,9577803,-,-181086,NM_026594,Rpl39l,10170321,10175004,+,Y,N,N,N,204,CpG_Start,CpG: 46,chr16,9993714,9994354,57.7,0.86,1.59,1.43,1.4,1.69,1.6,3.04,1.791666667,1.56,0.99,1.46,1.67,1.87,2,1.591666667,-0.2,0.509197524,0.293113717,0
SmaI_mm9_142533,chr16,9994122,-1496,0,NM_008170,Grin2a,9992626,9577803,-,-180882,NM_026594,Rpl39l,10170321,10175004,+,Y,N,N,N,-232,CpG_End,CpG: 46,chr16,9993714,9994354,57.7,0.86,0,0,0,0.82,NA,0.76,0.316,0.28,0.37,0.48,0.37,0.72,0.27,0.415,0.099,0.615921084,0.210474929,0
SmaI_mm9_142568,chr16,10511168,22796,0,NM_007575,Ciita,10488372,10527657,+,-16489,NM_007575,Ciita,10488372,10527657,+,N,N,N,N,-31345,CpG_Start,CpG: 67,chr16,10542513,10543241,66.7,0.83,37.1,37.14,42.8,48.27,49.71,37.55,42.095,55.5,53.35,51.68,50.76,47.49,65.86,54.10666667,12.01166667,0.006458167,2.189890747,0
SmaI_mm9_142569,chr16,10511439,23067,0,NM_007575,Ciita,10488372,10527657,+,-16218,NM_007575,Ciita,10488372,10527657,+,N,N,N,N,-31074,CpG_Start,CpG: 67,chr16,10542513,10543241,66.7,0.83,84.34,87.65,91.08,92.1,89.67,90.9,89.29,86.48,84.18,78.15,84.2,74.13,79.31,81.075,-8.215,0.004250998,2.371509072,0
SmaI_mm9_142599,chr16,10835302,150,1,NM_001162932,A630055G03Rik,10835152,10843328,+,-8026,NM_001162932,A630055G03Rik,10835152,10843328,+,Y,N,N,N,-199,CpG_End,CpG: 61,chr16,10835060,10835501,75.1,0.98,0,0,0,0,0,0,0,0,0,0.1,0,0.04,0,0.023333333,0.023333333,0.191765352,0.717229858,0
SmaI_mm9_142600,chr16,10835520,368,1,NM_001162932,A630055G03Rik,10835152,10843328,+,-7808,NM_001162932,A630055G03Rik,10835152,10843328,+,N,(CGGGG)n,Simple_repeat,Simple_repeat,19,CpG_End,CpG: 61,chr16,10835060,10835501,75.1,0.98,0,0,0,0,0,0,0,0.06,0.07,0.03,0,0.08,0,0.04,0.04,0.019369615,1.712879021,1
SmaI_mm9_142695,chr16,11909389,127,1,NM_146067,Cpped1,11909516,11803814,-,-105575,NM_146067,Cpped1,11909516,11803814,-,Y,N,N,N,-111,CpG_End,CpG: 26,chr16,11909186,11909500,65.1,0.78,0,0,0,0,0,0.42,0.07,0,0.03,0,0.03,0,0.03,0.015,-0.055,0.452259334,0.344612461,0
SmaI_mm9_142696,chr16,11909620,-104,1,NM_146067,Cpped1,11909516,11803814,-,-105806,NM_146067,Cpped1,11909516,11803814,-,N,N,N,N,120,CpG_End,CpG: 26,chr16,11909186,11909500,65.1,0.78,0,0,0,0.23,0,0.21,0.073333333,0.03,0.11,0.05,0,0,0.03,0.036666667,-0.036666666,0.474590896,0.323680597,1
SmaI_mm9_142699,chr16,11984306,100,1,NM_028277,Shisa9,11984206,12270997,+,-180492,NM_146067,Cpped1,11909516,11803814,-,Y,N,N,N,449,CpG_Start,CpG: 117,chr16,11983857,11985083,60.8,1.03,1.6,0.59,1.04,1.47,0.47,0.39,0.926666667,0.24,0.28,1.07,0.91,1.15,0.8,0.741666667,-0.185,0.504519963,0.297121644,0
SmaI_mm9_142700,chr16,11984659,453,1,NM_028277,Shisa9,11984206,12270997,+,-180845,NM_146067,Cpped1,11909516,11803814,-,Y,N,N,N,-424,CpG_End,CpG: 117,chr16,11983857,11985083,60.8,1.03,0.39,0.58,0.25,1.67,0,0.59,0.58,0,0.88,1.3,0.75,1.95,0,0.813333333,0.233333333,0.56155395,0.250608513,0
SmaI_mm9_142771,chr16,13256380,-194,1,NM_001122667,Mkl2,13256574,13417621,+,-76635,NM_181860,Mkl2,13265172,13333015,+,Y,N,N,N,25,CpG_Start,CpG: 84,chr16,13256355,13257157,66.6,0.96,0,0,0,0.49,0,0,0.081666667,0,0.43,0,0,0,0,0.071666667,-0.01,0.928487242,0.032224059,0
SmaI_mm9_142772,chr16,13256723,149,1,NM_001122667,Mkl2,13256574,13417621,+,-76292,NM_181860,Mkl2,13265172,13333015,+,Y,N,N,N,368,CpG_Start,CpG: 84,chr16,13256355,13257157,66.6,0.96,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.075,0.075,0.340893132,0.467381748,0
SmaI_mm9_142787,chr16,13447997,-1619,0,NR_030549,Mir193b,13449616,13449693,+,-1696,NR_030549,Mir193b,13449616,13449693,+,N,G-rich,Low_complexity,Low_complexity,-152,CpG_Start,CpG: 52,chr16,13448149,13448795,69.4,0.67,0,0,NA,0,NA,0,0,0,0,0,0,0.27,0,0.045,0.045,0.446813334,0.349873875,1
SmaI_mm9_142788,chr16,13448255,-1361,0,NR_030549,Mir193b,13449616,13449693,+,-1438,NR_030549,Mir193b,13449616,13449693,+,Y,N,N,N,106,CpG_Start,CpG: 52,chr16,13448149,13448795,69.4,0.67,0,0.25,0,0.3,0.98,0,0.255,0.06,0.06,0,0.04,0.1,0.04,0.05,-0.205,0.217592805,0.662355469,0
SmaI_mm9_142789,chr16,13448458,-1158,0,NR_030549,Mir193b,13449616,13449693,+,-1235,NR_030549,Mir193b,13449616,13449693,+,Y,N,N,N,309,CpG_Start,CpG: 52,chr16,13448149,13448795,69.4,0.67,0,0.54,0.79,0,0,0,0.221666667,0.07,0.07,0.04,0.05,0.04,0.19,0.076666667,-0.145,0.34324284,0.464398514,0
SmaI_mm9_142806,chr16,13667798,465,1,NM_028761,Parn,13668263,13538057,-,-10680,NM_025653,3110001I22Rik,13672113,13678478,+,N,N,N,N,-201,CpG_Start,CpG: 34,chr16,13667999,13668311,67.7,0.95,1.41,0,0.6,0,0.7,0,0.451666667,0.07,0.24,0.21,0.22,0.14,0.16,0.173333333,-0.278333334,0.260552991,0.584103937,1
SmaI_mm9_142807,chr16,13668019,244,1,NM_028761,Parn,13668263,13538057,-,-10459,NM_025653,3110001I22Rik,13672113,13678478,+,Y,N,N,N,20,CpG_Start,CpG: 34,chr16,13667999,13668311,67.7,0.95,0,0,0.46,0,0,0,0.076666667,0.04,0,0.04,0.09,0.19,0.05,0.068333333,-0.008333334,0.920370508,0.036037306,0
SmaI_mm9_142808,chr16,13668302,-39,1,NM_028761,Parn,13668263,13538057,-,-10176,NM_025653,3110001I22Rik,13672113,13678478,+,Y,N,N,N,-9,CpG_End,CpG: 34,chr16,13667999,13668311,67.7,0.95,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.021666667,0.021666667,0.340893132,0.467381748,0
SmaI_mm9_142825,chr16,13902977,251,1,NM_001039533,Pdxdc1,13903228,13834023,-,-46473,NM_033564,Mpv17l,13940788,13949450,+,Y,N,N,N,260,CpG_Start,CpG: 78,chr16,13902717,13903504,65.2,0.94,0,0,0,0,0,0,0,0.05,0.06,0.05,0,0.05,0.12,0.055,0.055,0.005595844,2.252134375,0
SmaI_mm9_142826,chr16,13903239,-11,1,NM_001039533,Pdxdc1,13903228,13834023,-,-46211,NM_033564,Mpv17l,13940788,13949450,+,Y,N,N,N,-265,CpG_End,CpG: 78,chr16,13902717,13903504,65.2,0.94,0.18,0,0,0,0,0,0.03,0.11,0.06,0.21,0.21,0,0.06,0.108333333,0.078333333,0.12096248,0.917349317,0
SmaI_mm9_142840,chr16,14163068,-300,1,NM_023317,Nde1,14163368,14193016,+,3284,NR_030252,Mir484,14159719,14159784,+,N,N,N,N,-81,CpG_Start,CpG: 62,chr16,14163149,14163780,67.7,0.89,0,0.36,0,0,0,0.79,0.191666667,0,0.08,0,0.04,0,0.04,0.026666667,-0.165,0.246341023,0.60846326,1
SmaI_mm9_142841,chr16,14163287,-81,1,NM_023317,Nde1,14163368,14193016,+,3503,NR_030252,Mir484,14159719,14159784,+,Y,N,N,N,138,CpG_Start,CpG: 62,chr16,14163149,14163780,67.7,0.89,0,0,0,0,0,0,0,0.05,0.08,0.16,0.14,0.06,0.07,0.093333333,0.093333333,0.00051492,3.288260566,0
SmaI_mm9_142861,chr16,14447278,85625,0,NM_008576,Abcc1,14361653,14474967,+,-27689,NM_008576,Abcc1,14361653,14474967,+,N,N,N,N,85361,CpG_End,CpG: 56,chr16,14361401,14361917,69.1,0.91,90.62,90.93,97.61,93.51,93.03,94.11,93.30166667,98.47,94.18,95.57,93.82,94.63,96.36,95.505,2.20333333,0.10896402,0.962716883,0
SmaI_mm9_142862,chr16,14447617,85964,0,NM_008576,Abcc1,14361653,14474967,+,-27350,NM_008576,Abcc1,14361653,14474967,+,N,N,N,N,85700,CpG_End,CpG: 56,chr16,14361401,14361917,69.1,0.91,96.11,96.88,96.04,97.95,98.8,96.95,97.12166667,98.9,99.23,97.18,99.13,97.9,99.54,98.64666667,1.525,0.024279594,1.614758579,0
SmaI_mm9_142890,chr16,15085055,178316,0,NM_025769,Efcab1,14906739,14924615,+,160440,NM_025769,Efcab1,14906739,14924615,+,Y,N,N,N,27,CpG_Start,CpG: 43,chr16,15085028,15085340,74.1,1,5.11,3.91,5.85,5.06,3.63,4.37,4.655,3.04,4.1,5.64,4.08,6.12,6.07,4.841666667,0.186666667,0.77058438,0.113179798,0
SmaI_mm9_142891,chr16,15085340,178601,0,NM_025769,Efcab1,14906739,14924615,+,160725,NM_025769,Efcab1,14906739,14924615,+,Y,N,N,N,0,CpG_End,CpG: 43,chr16,15085028,15085340,74.1,1,1.07,0.3,0.61,1,0.48,0.97,0.738333333,0.57,0.66,1.08,0.81,1.46,1.55,1.021666667,0.283333334,0.213098514,0.671419578,0
SmaI_mm9_142892,chr16,15085601,178862,0,NM_025769,Efcab1,14906739,14924615,+,160986,NM_025769,Efcab1,14906739,14924615,+,N,N,N,N,261,CpG_End,CpG: 43,chr16,15085028,15085340,74.1,1,5.37,3.97,2.59,4.9,1.55,2.56,3.49,1.43,1.03,2.55,2.47,2.61,1.41,1.916666667,-1.573333333,0.041929668,1.37747858,1
SmaI_mm9_142939,chr16,15887921,542,0,NM_007679,Cebpd,15887379,15889638,+,1399,NM_146068,2310008H04Rik,16146926,15889320,-,Y,N,N,N,-407,CpG_End,CpG: 158,chr16,15886804,15888328,67.7,0.9,0,0,0,0,0,0,0,0.02,0.05,0.05,0,0.02,0,0.023333333,0.023333333,0.029405126,1.531576949,0
SmaI_mm9_142940,chr16,15888142,763,0,NM_007679,Cebpd,15887379,15889638,+,1178,NM_146068,2310008H04Rik,16146926,15889320,-,Y,N,N,N,-186,CpG_End,CpG: 158,chr16,15886804,15888328,67.7,0.9,0,0,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0.015,0.015,0.049332196,1.306869555,0
SmaI_mm9_142961,chr16,16358534,589,0,NM_152816,Dnm1l,16359123,16312326,-,-46208,NM_152816,Dnm1l,16359123,16312326,-,N,N,N,N,-99,CpG_Start,CpG: 53,chr16,16358633,16359178,68.9,0.83,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0.01,0.340893132,0.467381748,1
SmaI_mm9_142962,chr16,16358762,361,1,NM_152816,Dnm1l,16359123,16312326,-,-46436,NM_152816,Dnm1l,16359123,16312326,-,Y,N,N,N,129,CpG_Start,CpG: 53,chr16,16358633,16359178,68.9,0.83,0,0,0.25,0,0,0,0.041666667,0.11,0.03,0.05,0.06,0.07,0,0.053333333,0.011666666,0.797860649,0.098072954,0
SmaI_mm9_143030,chr16,17452341,261,1,NM_007764,Crkl,17452080,17486348,+,21422,NM_023348,Snap29,17406093,17430919,+,Y,N,N,N,466,CpG_Start,CpG: 89,chr16,17451875,17452936,64.5,0.81,0.2,0,0,0,0,0,0.033333333,0,0.27,0.2,0,0,0,0.078333333,0.045,0.473342838,0.32482419,0
SmaI_mm9_143031,chr16,17452706,626,0,NM_007764,Crkl,17452080,17486348,+,21787,NM_023348,Snap29,17406093,17430919,+,Y,N,N,N,-230,CpG_End,CpG: 89,chr16,17451875,17452936,64.5,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmaI_mm9_143052,chr16,17646282,-281,1,NM_001166164,Ccdc74a,17646563,17650830,+,1361,NM_029945,Smpd4,17619447,17644921,+,N,B4A,SINE,B4,26507,CpG_End,CpG: 39,chr16,17619403,17619775,68.4,0.9,0.5,1.31,0.8,0.95,1.21,0.52,0.881666667,0.91,0.25,0.97,0.17,0.26,0.5,0.51,-0.371666667,0.092353811,1.034545179,0
SmaI_mm9_143053,chr16,17646679,116,1,NM_001166164,Ccdc74a,17646563,17650830,+,1758,NM_029945,Smpd4,17619447,17644921,+,N,GC_rich,Low_complexity,Low_complexity,26904,CpG_End,CpG: 39,chr16,17619403,17619775,68.4,0.9,0,0,0,0,0,0,0,0.18,0,0,0,0.14,0,0.053333333,0.053333333,0.149133846,0.826423781,0
SmaI_mm9_143059,chr16,17797096,-279,1,NM_153790,Scarf2,17797375,17808380,+,3621,NM_145479,Klhl22,17759714,17793475,+,N,N,N,N,-465,CpG_Start,CpG: 87,chr16,17797561,17798806,62.6,0.73,10.39,7.22,9,13.72,8.88,8.38,9.598333333,4.25,3.92,3.64,2.16,4.87,2.13,3.495,-6.103333333,0.000147975,3.829811237,1
SmaI_mm9_143060,chr16,17797491,116,1,NM_153790,Scarf2,17797375,17808380,+,4016,NM_145479,Klhl22,17759714,17793475,+,N,GC_rich,Low_complexity,Low_complexity,-70,CpG_Start,CpG: 87,chr16,17797561,17798806,62.6,0.73,0.4,0,0.83,0.95,0.5,0.79,0.578333333,0.33,0.09,0.72,0,0,0.52,0.276666667,-0.301666666,0.140478041,0.852391557,1
